Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;odd_H;odd_D;odd_A;odd_over25
SP1;23/08/2014;Almeria;Espanol;1;1;D;0;0;D;2.55;3.3;2.7;2.23
SP1;23/08/2014;Granada;La Coruna;2;1;H;0;1;A;1.95;3.2;4.2;2.43
SP1;23/08/2014;Malaga;Ath Bilbao;1;0;H;1;0;H;2.8;3.3;2.45;2.02
SP1;23/08/2014;Sevilla;Valencia;1;1;D;1;0;H;2.05;3.5;3.5;1.88
SP1;24/08/2014;Barcelona;Elche;3;0;H;1;0;H;1.1;9;21;1.29
SP1;24/08/2014;Celta;Getafe;3;1;H;1;0;H;1.91;3.4;4;2.04
SP1;24/08/2014;Eibar;Sociedad;1;0;H;1;0;H;3.25;3.4;2.2;2.17
SP1;24/08/2014;Levante;Villarreal;0;2;A;0;0;D;3.4;3.4;2.1;2.21
SP1;25/08/2014;Real Madrid;Cordoba;2;0;H;1;0;H;1.06;11;29;1.24
SP1;25/08/2014;Vallecano;Ath Madrid;0;0;D;0;0;D;7;4;1.5;1.79
SP1;29/08/2014;Getafe;Almeria;1;0;H;1;0;H;2;3.4;3.75;2.18
SP1;29/08/2014;Valencia;Malaga;3;0;H;2;0;H;1.55;4.2;5.5;1.84
SP1;30/08/2014;Ath Bilbao;Levante;3;0;H;1;0;H;1.33;5;9;1.74
SP1;30/08/2014;Ath Madrid;Eibar;2;1;H;2;1;H;1.22;5.75;13;1.87
SP1;30/08/2014;Cordoba;Celta;1;1;D;0;0;D;3.3;3.3;2.2;2.22
SP1;30/08/2014;Espanol;Sevilla;1;2;A;0;1;A;2.5;3.2;2.88;2.12
SP1;31/08/2014;Elche;Granada;1;1;D;0;0;D;2.2;3.2;3.4;2.42
SP1;31/08/2014;La Coruna;Vallecano;2;2;D;1;1;D;2.25;3.3;3.2;2.23
SP1;31/08/2014;Sociedad;Real Madrid;4;2;H;2;2;D;7.5;5;1.36;1.47
SP1;31/08/2014;Villarreal;Barcelona;0;1;A;0;0;D;5;4.2;1.57;1.55
SP1;12/09/2014;Almeria;Cordoba;1;1;D;1;1;D;2.05;3.3;3.6;2.33
SP1;13/09/2014;Barcelona;Ath Bilbao;2;0;H;0;0;D;1.3;5.5;8.5;1.43
SP1;13/09/2014;Celta;Sociedad;2;2;D;1;0;H;2.2;3.3;3.3;1.93
SP1;13/09/2014;Malaga;Levante;0;0;D;0;0;D;1.62;3.6;6;2.28
SP1;13/09/2014;Real Madrid;Ath Madrid;1;2;A;1;1;D;1.67;3.75;5;1.92
SP1;14/09/2014;Granada;Villarreal;0;0;D;0;0;D;3.5;3.2;2.15;2.37
SP1;14/09/2014;Sevilla;Getafe;2;0;H;1;0;H;1.44;4.33;7;1.76
SP1;14/09/2014;Valencia;Espanol;3;1;H;1;0;H;1.62;3.75;5.5;1.96
SP1;14/09/2014;Vallecano;Elche;2;3;A;1;1;D;1.73;3.5;5;2.14
SP1;15/09/2014;Eibar;La Coruna;0;1;A;0;1;A;2.1;3.2;3.6;2.58
SP1;19/09/2014;Elche;Eibar;0;2;A;0;2;A;2.15;3;3.8;2.78
SP1;20/09/2014;Ath Bilbao;Granada;0;1;A;0;1;A;1.44;4.2;7.5;1.85
SP1;20/09/2014;Ath Madrid;Celta;2;2;D;2;1;H;1.44;4.2;7.5;1.92
SP1;20/09/2014;Espanol;Malaga;2;2;D;1;0;H;2;3.3;3.75;2.25
SP1;20/09/2014;La Coruna;Real Madrid;2;8;A;0;3;A;9.5;6;1.25;1.44
SP1;21/09/2014;Cordoba;Sevilla;1;3;A;0;1;A;3.8;3.3;2;2.21
SP1;21/09/2014;Levante;Barcelona;0;5;A;0;2;A;15;7.5;1.18;1.44
SP1;21/09/2014;Sociedad;Almeria;1;2;A;0;1;A;1.44;4.5;6.5;1.73
SP1;21/09/2014;Villarreal;Vallecano;4;2;H;1;2;A;1.53;3.8;6.5;1.78
SP1;22/09/2014;Getafe;Valencia;0;3;A;0;2;A;3.6;3.3;2.05;2.1
SP1;23/09/2014;Celta;La Coruna;2;1;H;1;0;H;1.57;3.75;6;1.82
SP1;23/09/2014;Real Madrid;Elche;5;1;H;3;1;H;1.08;12;23;1.24
SP1;24/09/2014;Almeria;Ath Madrid;0;1;A;0;0;D;6;3.8;1.57;2.05
SP1;24/09/2014;Eibar;Villarreal;1;1;D;1;0;H;3.4;3;2.3;2.56
SP1;24/09/2014;Granada;Levante;0;1;A;0;0;D;1.5;3.9;7;2.06
SP1;24/09/2014;Malaga;Barcelona;0;0;D;0;0;D;9;5;1.33;1.54
SP1;24/09/2014;Sevilla;Sociedad;1;0;H;1;0;H;1.8;3.6;4.33;1.71
SP1;24/09/2014;Vallecano;Ath Bilbao;2;1;H;1;1;D;3.1;3.4;2.25;1.85
SP1;25/09/2014;Espanol;Getafe;2;0;H;0;0;D;1.67;3.6;5.5;2.17
SP1;25/09/2014;Valencia;Cordoba;3;0;H;2;0;H;1.33;5;8.5;1.77
SP1;26/09/2014;Elche;Celta;0;1;A;0;0;D;2.8;3.4;2.4;2.32
SP1;27/09/2014;Ath Bilbao;Eibar;0;0;D;0;0;D;1.53;3.75;7;2.26
SP1;27/09/2014;Ath Madrid;Sevilla;4;0;H;2;0;H;1.67;4;4.75;2.09
SP1;27/09/2014;Barcelona;Granada;6;0;H;3;0;H;1.13;8.5;17;1.38
SP1;27/09/2014;Levante;Vallecano;0;2;A;0;2;A;3;3.2;2.4;2.04
SP1;27/09/2014;Villarreal;Real Madrid;0;2;A;0;2;A;5.25;4;1.62;1.58
SP1;28/09/2014;Cordoba;Espanol;0;0;D;0;0;D;2.7;3.25;2.6;2.28
SP1;28/09/2014;Getafe;Malaga;1;0;H;1;0;H;3;3.2;2.38;2.36
SP1;28/09/2014;La Coruna;Almeria;0;1;A;0;0;D;2.05;3.4;3.6;2.25
SP1;28/09/2014;Sociedad;Valencia;1;1;D;1;1;D;2.63;3.3;2.63;1.81
SP1;03/10/2014;Getafe;Cordoba;1;1;D;0;0;D;1.95;3.2;4.2;2.63
SP1;04/10/2014;Almeria;Elche;2;2;D;1;1;D;2.15;3.1;3.6;2.41
SP1;04/10/2014;Eibar;Levante;3;3;D;0;2;A;1.8;3.4;4.75;2.68
SP1;04/10/2014;Malaga;Granada;2;1;H;0;1;A;1.8;3.5;4.5;2.37
SP1;04/10/2014;Valencia;Ath Madrid;3;1;H;3;1;H;2.75;3.2;2.6;2.22
SP1;04/10/2014;Vallecano;Barcelona;0;2;A;0;2;A;9;6.5;1.25;1.38
SP1;05/10/2014;Celta;Villarreal;1;3;A;1;2;A;2.38;3.2;3;1.99
SP1;05/10/2014;Espanol;Sociedad;2;0;H;1;0;H;2.5;3.25;2.8;2.11
SP1;05/10/2014;Real Madrid;Ath Bilbao;5;0;H;2;0;H;1.2;6.5;15;1.32
SP1;05/10/2014;Sevilla;La Coruna;4;1;H;2;1;H;1.4;4.4;8;1.73
SP1;17/10/2014;Granada;Vallecano;0;1;A;0;0;D;2.2;3.3;3.3;2.06
SP1;18/10/2014;Ath Bilbao;Celta;1;1;D;1;0;H;1.91;3.6;3.75;1.84
SP1;18/10/2014;Barcelona;Eibar;3;0;H;0;0;D;1.1;9;21;1.33
SP1;18/10/2014;Cordoba;Malaga;1;2;A;0;2;A;3.25;3;2.38;2.56
SP1;18/10/2014;Levante;Real Madrid;0;5;A;0;2;A;13;7.5;1.17;1.35
SP1;19/10/2014;Ath Madrid;Espanol;2;0;H;1;0;H;1.33;4.75;9.5;1.98
SP1;19/10/2014;Elche;Sevilla;0;2;A;0;0;D;3.6;3.4;2.05;2.18
SP1;19/10/2014;La Coruna;Valencia;3;0;H;2;0;H;4.5;3.4;1.83;1.92
SP1;19/10/2014;Villarreal;Almeria;2;0;H;1;0;H;1.33;5;9;1.66
SP1;20/10/2014;Sociedad;Getafe;1;2;A;0;0;D;1.53;4;6;1.9
SP1;24/10/2014;Celta;Levante;3;0;H;1;0;H;1.44;4.5;6;1.77
SP1;25/10/2014;Almeria;Ath Bilbao;0;1;A;0;0;D;3.3;3.25;2.2;2.07
SP1;25/10/2014;Cordoba;Sociedad;1;1;D;0;1;A;3.4;3.2;2.2;2.16
SP1;25/10/2014;Eibar;Granada;1;1;D;1;1;D;2.1;3.1;3.75;2.68
SP1;25/10/2014;Real Madrid;Barcelona;3;1;H;1;1;D;2.38;3.75;3;1.49
SP1;25/10/2014;Valencia;Elche;3;1;H;2;0;H;1.36;4.75;8.5;1.78
SP1;26/10/2014;Espanol;La Coruna;0;0;D;0;0;D;1.91;3.4;4;2.23
SP1;26/10/2014;Getafe;Ath Madrid;0;1;A;0;1;A;7;3.75;1.53;2.19
SP1;26/10/2014;Malaga;Vallecano;4;0;H;3;0;H;1.83;3.5;4.33;1.99
SP1;26/10/2014;Sevilla;Villarreal;2;1;H;0;0;D;2;3.4;3.75;1.81
SP1;31/10/2014;La Coruna;Getafe;1;2;A;0;1;A;2.2;3.1;3.5;2.44
SP1;01/11/2014;Ath Madrid;Cordoba;4;2;H;1;0;H;1.18;6.5;15;1.72
SP1;01/11/2014;Barcelona;Celta;0;1;A;0;0;D;1.13;8.5;17;1.27
SP1;01/11/2014;Granada;Real Madrid;0;4;A;0;2;A;12;7;1.2;1.44
SP1;01/11/2014;Sociedad;Malaga;0;1;A;0;0;D;2.2;3.4;3.2;1.93
SP1;02/11/2014;Ath Bilbao;Sevilla;1;0;H;1;0;H;2.4;3.3;2.9;1.93
SP1;02/11/2014;Elche;Espanol;2;1;H;1;0;H;2.63;3.1;2.75;2.54
SP1;02/11/2014;Levante;Almeria;2;1;H;1;0;H;2.4;3.1;3.1;2.31
SP1;02/11/2014;Villarreal;Valencia;1;3;A;0;1;A;2.1;3.4;3.4;1.82
SP1;03/11/2014;Vallecano;Eibar;2;3;A;0;1;A;2.05;3.2;3.8;2.26
SP1;07/11/2014;Cordoba;La Coruna;0;0;D;0;0;D;2.25;3.1;3.4;2.47
SP1;08/11/2014;Almeria;Barcelona;1;2;A;1;0;H;17;7.5;1.14;1.34
SP1;08/11/2014;Celta;Granada;0;0;D;0;0;D;1.57;3.8;6;1.94
SP1;08/11/2014;Getafe;Elche;0;0;D;0;0;D;2;3.2;4;2.51
SP1;08/11/2014;Malaga;Eibar;2;1;H;0;1;A;1.57;3.75;6;2.21
SP1;08/11/2014;Real Madrid;Vallecano;5;1;H;2;1;H;1.05;15;26;1.16
SP1;09/11/2014;Espanol;Villarreal;1;1;D;0;1;A;3.1;3.2;2.3;2.1
SP1;09/11/2014;Sevilla;Levante;1;1;D;1;0;H;1.25;5.5;12;1.63
SP1;09/11/2014;Sociedad;Ath Madrid;2;1;H;1;1;D;4.33;3.6;1.8;2.11
SP1;09/11/2014;Valencia;Ath Bilbao;0;0;D;0;0;D;1.62;4;5.25;1.88
SP1;21/11/2014;Ath Bilbao;Espanol;3;1;H;2;0;H;1.8;3.5;4.5;2.21
SP1;22/11/2014;Ath Madrid;Malaga;3;1;H;2;0;H;1.44;4.2;7.5;1.99
SP1;22/11/2014;Barcelona;Sevilla;5;1;H;1;0;H;1.2;7;11;1.33
SP1;22/11/2014;Eibar;Real Madrid;0;4;A;0;2;A;15;6.5;1.18;1.39
SP1;22/11/2014;La Coruna;Sociedad;0;0;D;0;0;D;3.4;3.25;2.15;2.16
SP1;23/11/2014;Elche;Cordoba;2;2;D;0;1;A;2;3.2;4;2.5
SP1;23/11/2014;Levante;Valencia;2;1;H;0;0;D;5;3.75;1.67;2
SP1;23/11/2014;Vallecano;Celta;1;0;H;1;0;H;2.7;3.3;2.55;1.69
SP1;23/11/2014;Villarreal;Getafe;2;1;H;2;0;H;1.44;4.5;6.5;1.73
SP1;24/11/2014;Granada;Almeria;0;0;D;0;0;D;2;3.3;3.8;2.31
SP1;28/11/2014;Sociedad;Elche;3;0;H;2;0;H;1.7;3.75;5;2.04
SP1;29/11/2014;Celta;Eibar;0;1;A;0;1;A;1.62;4;5.5;1.83
SP1;29/11/2014;Espanol;Levante;2;1;H;2;1;H;1.67;3.7;5.5;2.24
SP1;29/11/2014;Getafe;Ath Bilbao;1;2;A;0;1;A;2.88;3.1;2.63;2.4
SP1;29/11/2014;Malaga;Real Madrid;1;2;A;0;1;A;10;6;1.29;1.45
SP1;30/11/2014;Ath Madrid;La Coruna;2;0;H;1;0;H;1.18;7;17;1.64
SP1;30/11/2014;Cordoba;Villarreal;0;2;A;0;1;A;4.33;3.6;1.85;2.17
SP1;30/11/2014;Sevilla;Granada;5;1;H;1;1;D;1.44;4.5;7.5;1.86
SP1;30/11/2014;Valencia;Barcelona;0;1;A;0;0;D;6;4.33;1.53;1.51
SP1;01/12/2014;Almeria;Vallecano;0;1;A;0;0;D;2.38;3.4;3;1.88
SP1;06/12/2014;Ath Bilbao;Cordoba;0;1;A;0;1;A;1.4;4.5;9;2.07
SP1;06/12/2014;Elche;Ath Madrid;0;2;A;0;1;A;7;3.75;1.57;2.33
SP1;06/12/2014;La Coruna;Malaga;0;1;A;0;1;A;3.6;3.25;2.1;2.39
SP1;06/12/2014;Real Madrid;Celta;3;0;H;1;0;H;1.09;12;21;1.18
SP1;07/12/2014;Barcelona;Espanol;5;1;H;1;1;D;1.09;12;21;1.29
SP1;07/12/2014;Granada;Valencia;1;1;D;0;0;D;3.9;3.4;2;2.18
SP1;07/12/2014;Vallecano;Sevilla;0;1;A;0;1;A;3.3;3.4;2.2;1.75
SP1;07/12/2014;Villarreal;Sociedad;4;0;H;0;0;D;1.67;3.75;5.5;1.77
SP1;08/12/2014;Eibar;Almeria;5;2;H;3;1;H;2.05;3.2;4;2.44
SP1;08/12/2014;Levante;Getafe;1;1;D;0;0;D;2.6;3.1;2.9;2.45
SP1;12/12/2014;Almeria;Real Madrid;1;4;A;1;2;A;17;7.5;1.17;1.34
SP1;13/12/2014;Cordoba;Levante;0;0;D;0;0;D;2.2;3.2;3.5;2.49
SP1;13/12/2014;Getafe;Barcelona;0;0;D;0;0;D;13;6.5;1.22;1.44
SP1;13/12/2014;Malaga;Celta;1;0;H;1;0;H;2.1;3.3;3.5;2.06
SP1;13/12/2014;Valencia;Vallecano;3;0;H;3;0;H;1.5;4.5;6;1.64
SP1;14/12/2014;Ath Madrid;Villarreal;0;1;A;0;0;D;1.62;4;5.5;2.01
SP1;14/12/2014;Espanol;Granada;2;1;H;1;0;H;1.7;3.6;5.5;2.37
SP1;14/12/2014;Sevilla;Eibar;0;0;D;0;0;D;1.4;4.5;9;1.83
SP1;14/12/2014;Sociedad;Ath Bilbao;1;1;D;1;0;H;2.5;3.2;3;2.27
SP1;15/12/2014;La Coruna;Elche;1;0;H;1;0;H;2.25;3.2;3.4;2.45
SP1;19/12/2014;Celta;Almeria;0;1;A;0;1;A;1.44;4.5;6.5;1.66
SP1;20/12/2014;Barcelona;Cordoba;5;0;H;1;0;H;1.06;15;26;1.19
SP1;20/12/2014;Eibar;Valencia;0;1;A;0;1;A;3.8;3.3;2.05;2.24
SP1;20/12/2014;Levante;Sociedad;1;1;D;0;0;D;3;3.2;2.5;2.38
