Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;odd_H;odd_D;odd_A;odd_over25
SP1;16/08/2019;Ath Bilbao;Barcelona;1;0;H;0;0;D;5.25;3.8;1.65;1.8
SP1;17/08/2019;Celta;Real Madrid;1;3;A;0;1;A;4.75;4.2;1.65;1.53
SP1;17/08/2019;Valencia;Sociedad;1;1;D;0;0;D;1.66;3.75;5.5;2
SP1;17/08/2019;Mallorca;Eibar;2;1;H;1;0;H;2.8;3.2;2.6;2.3
SP1;17/08/2019;Leganes;Osasuna;0;1;A;0;0;D;2;3.2;4.2;2.5
SP1;17/08/2019;Villarreal;Granada;4;4;D;1;1;D;1.6;3.8;6.5;1.8
SP1;18/08/2019;Alaves;Levante;1;0;H;0;0;D;2.15;3.2;3.6;2.1
SP1;18/08/2019;Espanol;Sevilla;0;2;A;0;1;A;3.2;3.3;2.3;1.9
SP1;18/08/2019;Betis;Valladolid;1;2;A;0;0;D;1.66;3.75;5.5;2.1
SP1;18/08/2019;Ath Madrid;Getafe;1;0;H;1;0;H;1.44;4.33;8;2.2
SP1;23/08/2019;Granada;Sevilla;0;1;A;0;0;D;3.6;3.6;1.95;1.9
SP1;23/08/2019;Levante;Villarreal;2;1;H;0;1;A;2.55;3.4;2.62;1.72
SP1;24/08/2019;Osasuna;Eibar;0;0;D;0;0;D;2.5;3.2;2.9;2.3
SP1;24/08/2019;Real Madrid;Valladolid;1;1;D;0;0;D;1.2;6.5;13;1.36
SP1;24/08/2019;Celta;Valencia;1;0;H;1;0;H;3.1;3.4;2.25;1.9
SP1;24/08/2019;Getafe;Ath Bilbao;1;1;D;1;1;D;2.6;3;2.9;3
SP1;25/08/2019;Alaves;Espanol;0;0;D;0;0;D;2.45;3.2;3;2.5
SP1;25/08/2019;Mallorca;Sociedad;0;1;A;0;0;D;3.1;3.1;2.4;2
SP1;25/08/2019;Leganes;Ath Madrid;0;1;A;0;0;D;4.75;3.4;1.8;2.5
SP1;25/08/2019;Barcelona;Betis;5;2;H;1;1;D;1.25;6;10;1.4
SP1;30/08/2019;Sevilla;Celta;1;1;D;0;0;D;1.53;4.2;6;1.66
SP1;30/08/2019;Ath Bilbao;Sociedad;2;0;H;2;0;H;2.3;3.1;3.4;2.5
SP1;31/08/2019;Osasuna;Barcelona;2;2;D;1;0;H;10;5;1.33;1.72
SP1;31/08/2019;Getafe;Alaves;1;1;D;1;1;D;1.72;3.4;5.75;2.75
SP1;31/08/2019;Levante;Valladolid;2;0;H;0;0;D;2;3.5;3.75;1.9
SP1;31/08/2019;Betis;Leganes;2;1;H;0;0;D;1.95;3.3;4.33;2.5
SP1;01/09/2019;Valencia;Mallorca;2;0;H;1;0;H;1.4;4.75;8;1.72
SP1;01/09/2019;Ath Madrid;Eibar;3;2;H;1;2;A;1.4;4;10;2.2
SP1;01/09/2019;Espanol;Granada;0;3;A;0;1;A;2.05;3.3;4;2.3
SP1;01/09/2019;Villarreal;Real Madrid;2;2;D;1;1;D;3.6;4;1.9;1.4
SP1;13/09/2019;Mallorca;Ath Bilbao;0;0;D;0;0;D;3.4;3.1;2.3;2.75
