Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;odd_H;odd_D;odd_A;odd_over25
SP1;17/08/2013;Sociedad;Getafe;2;0;H;1;0;H;1.73;3.6;4.75;1.94
SP1;17/08/2013;Valencia;Malaga;1;0;H;0;0;D;1.53;4;6;1.72
SP1;17/08/2013;Valladolid;Ath Bilbao;1;2;A;1;1;D;2.5;3.3;2.8;2.01
SP1;18/08/2013;Barcelona;Levante;7;0;H;6;0;H;1.08;10;26;1.23
SP1;18/08/2013;Osasuna;Granada;1;2;A;0;2;A;2;3.3;3.75;2.23
SP1;18/08/2013;Real Madrid;Betis;2;1;H;1;1;D;1.17;7;17;1.28
SP1;18/08/2013;Sevilla;Ath Madrid;1;3;A;1;1;D;2.8;3.3;2.5;1.98
SP1;19/08/2013;Almeria;Villarreal;2;3;A;1;0;H;2.6;3.2;2.75;2.19
SP1;19/08/2013;Celta;Espanol;2;2;D;1;0;H;2.2;3.2;3.4;2.22
SP1;19/08/2013;Vallecano;Elche;3;0;H;2;0;H;2.25;3.25;3.25;2.04
SP1;23/08/2013;Ath Bilbao;Osasuna;2;0;H;1;0;H;1.62;3.75;5.5;1.9
SP1;23/08/2013;Getafe;Almeria;2;2;D;1;2;A;1.85;3.5;4.2;2.08
SP1;24/08/2013;Elche;Sociedad;1;1;D;1;0;H;3.2;3.4;2.2;1.96
SP1;24/08/2013;Espanol;Valencia;3;1;H;1;1;D;3;3.25;2.38;1.98
SP1;24/08/2013;Villarreal;Valladolid;2;1;H;1;1;D;1.85;3.6;4;2.05
SP1;25/08/2013;Ath Madrid;Vallecano;5;0;H;3;0;H;1.29;5.25;10;1.6
SP1;25/08/2013;Betis;Celta;1;2;A;0;0;D;1.8;3.5;4.5;1.94
SP1;25/08/2013;Levante;Sevilla;0;0;D;0;0;D;3.5;3.3;2.1;2.05
SP1;25/08/2013;Malaga;Barcelona;0;1;A;0;1;A;13;6;1.22;1.37
SP1;26/08/2013;Granada;Real Madrid;0;1;A;0;1;A;7.5;5.5;1.33;1.41
SP1;30/08/2013;Almeria;Elche;2;2;D;2;1;H;2;3.3;3.8;2.02
SP1;30/08/2013;Vallecano;Levante;1;2;A;0;1;A;1.73;3.6;4.75;1.97
SP1;31/08/2013;Celta;Granada;1;1;D;1;0;H;2.2;3.3;3.3;2.12
SP1;31/08/2013;Osasuna;Villarreal;0;3;A;0;2;A;2.5;3.2;2.88;2.22
SP1;31/08/2013;Valladolid;Getafe;1;0;H;0;0;D;2.1;3.3;3.5;2.18
SP1;01/09/2013;Espanol;Betis;0;0;D;0;0;D;2.05;3.4;3.6;1.99
SP1;01/09/2013;Real Madrid;Ath Bilbao;3;1;H;2;0;H;1.17;7;16;1.29
SP1;01/09/2013;Sevilla;Malaga;2;2;D;1;1;D;1.62;3.8;5.5;1.93
SP1;01/09/2013;Sociedad;Ath Madrid;1;2;A;0;1;A;2.9;3.3;2.38;1.97
SP1;01/09/2013;Valencia;Barcelona;2;3;A;2;3;A;5.5;4.33;1.53;1.51
SP1;14/09/2013;Ath Madrid;Almeria;4;2;H;2;1;H;1.25;6;11;1.51
SP1;14/09/2013;Barcelona;Sevilla;3;2;H;1;0;H;1.18;7;15;1.27
SP1;14/09/2013;Levante;Sociedad;0;0;D;0;0;D;3.1;3.25;2.3;2.08
SP1;14/09/2013;Villarreal;Real Madrid;2;2;D;1;1;D;5.5;4.2;1.57;1.49
SP1;15/09/2013;Betis;Valencia;3;1;H;3;0;H;2.63;3.3;2.63;1.9
SP1;15/09/2013;Getafe;Osasuna;2;1;H;1;1;D;1.95;3.3;4;2.21
SP1;15/09/2013;Granada;Espanol;0;1;A;0;0;D;2.4;3.2;3;2.2
SP1;15/09/2013;Malaga;Vallecano;5;0;H;2;0;H;1.91;3.5;4;1.8
SP1;16/09/2013;Ath Bilbao;Celta;3;2;H;1;1;D;1.67;3.75;5;1.81
SP1;16/09/2013;Elche;Valladolid;0;0;D;0;0;D;2.25;3.25;3.25;2.13
SP1;20/09/2013;Osasuna;Elche;2;1;H;1;0;H;2;3.4;3.75;2.27
SP1;21/09/2013;Almeria;Levante;2;2;D;1;0;H;1.8;3.5;4.5;2.01
SP1;21/09/2013;Sociedad;Malaga;0;0;D;0;0;D;1.91;3.5;4;1.85
SP1;21/09/2013;Valladolid;Ath Madrid;0;2;A;0;0;D;5;3.6;1.7;1.95
SP1;21/09/2013;Vallecano;Barcelona;0;4;A;0;1;A;13;6.5;1.2;1.3
SP1;22/09/2013;Betis;Granada;0;0;D;0;0;D;1.67;3.6;5.5;1.89
SP1;22/09/2013;Celta;Villarreal;0;0;D;0;0;D;2.75;3.3;2.5;1.89
SP1;22/09/2013;Real Madrid;Getafe;4;1;H;2;1;H;1.13;8.5;19;1.23
SP1;22/09/2013;Valencia;Sevilla;3;1;H;1;0;H;1.91;3.4;4;1.77
SP1;23/09/2013;Espanol;Ath Bilbao;3;2;H;1;1;D;2.3;3.4;3;1.9
SP1;24/09/2013;Ath Madrid;Osasuna;2;1;H;2;1;H;1.2;6;15;1.57
SP1;24/09/2013;Barcelona;Sociedad;4;1;H;3;0;H;1.13;8;19;1.22
SP1;24/09/2013;Levante;Valladolid;1;1;D;1;1;D;2.1;3.3;3.5;2.35
SP1;24/09/2013;Malaga;Almeria;2;0;H;0;0;D;1.67;3.75;5;1.67
SP1;25/09/2013;Elche;Real Madrid;1;2;A;0;0;D;10;5.5;1.29;1.38
SP1;25/09/2013;Granada;Valencia;0;1;A;0;0;D;3.1;3.25;2.3;2.09
SP1;25/09/2013;Sevilla;Vallecano;4;1;H;1;0;H;1.44;4.2;7.5;1.55
SP1;26/09/2013;Ath Bilbao;Betis;2;1;H;0;0;D;1.95;3.5;3.75;1.78
SP1;26/09/2013;Getafe;Celta;2;0;H;1;0;H;2.1;3.3;3.5;2.12
SP1;26/09/2013;Villarreal;Espanol;2;1;H;1;0;H;1.73;3.5;5;1.97
SP1;27/09/2013;Valladolid;Malaga;2;2;D;0;1;A;2.9;3.2;2.45;2.2
SP1;28/09/2013;Almeria;Barcelona;0;2;A;0;1;A;13;7;1.18;1.24
SP1;28/09/2013;Real Madrid;Ath Madrid;0;1;A;0;1;A;1.62;3.75;5.5;1.47
SP1;28/09/2013;Sociedad;Sevilla;1;1;D;0;1;A;2.2;3.4;3.2;1.86
SP1;28/09/2013;Valencia;Vallecano;1;0;H;1;0;H;1.29;5.25;10;1.44
SP1;29/09/2013;Betis;Villarreal;1;0;H;1;0;H;2.5;3.3;2.75;1.94
SP1;29/09/2013;Celta;Elche;0;1;A;0;0;D;1.91;3.4;4;2.12
SP1;29/09/2013;Espanol;Getafe;0;2;A;0;0;D;1.7;3.6;5;2.05
SP1;29/09/2013;Osasuna;Levante;0;1;A;0;0;D;2.05;3.3;3.6;2.29
SP1;30/09/2013;Granada;Ath Bilbao;2;0;H;0;0;D;2.75;3.3;2.5;2.02
SP1;04/10/2013;Malaga;Osasuna;0;1;A;0;1;A;1.53;4;6;1.97
SP1;04/10/2013;Villarreal;Granada;3;0;H;1;0;H;1.44;4.33;7;1.83
SP1;05/10/2013;Barcelona;Valladolid;4;1;H;1;1;D;1.09;10;21;1.33
SP1;05/10/2013;Elche;Espanol;2;1;H;1;0;H;2.5;3.3;2.75;2.28
SP1;05/10/2013;Levante;Real Madrid;2;3;A;0;0;D;9;5;1.33;1.49
SP1;05/10/2013;Vallecano;Sociedad;1;0;H;0;0;D;2.9;3.4;2.38;1.79
SP1;06/10/2013;Ath Bilbao;Valencia;1;1;D;0;1;A;2.1;3.5;3.3;1.74
SP1;06/10/2013;Ath Madrid;Celta;2;1;H;1;0;H;1.22;6;13;1.5
SP1;06/10/2013;Getafe;Betis;3;1;H;3;0;H;2.4;3.3;2.88;2.08
SP1;06/10/2013;Sevilla;Almeria;2;1;H;1;1;D;1.44;4.33;7;1.53
SP1;19/10/2013;Espanol;Ath Madrid;1;0;H;0;0;D;5.25;3.6;1.67;1.99
SP1;19/10/2013;Osasuna;Barcelona;0;0;D;0;0;D;12;6;1.22;1.4
SP1;19/10/2013;Real Madrid;Malaga;2;0;H;0;0;D;1.2;7;11;1.27
SP1;19/10/2013;Valencia;Sociedad;1;2;A;0;1;A;1.73;3.5;5;1.73
SP1;20/10/2013;Almeria;Vallecano;0;1;A;0;0;D;1.91;3.6;3.75;1.75
SP1;20/10/2013;Betis;Elche;1;2;A;1;2;A;1.73;3.5;5;1.99
SP1;20/10/2013;Granada;Getafe;0;2;A;0;0;D;2.1;3.4;3.4;2.26
SP1;20/10/2013;Valladolid;Sevilla;2;2;D;0;2;A;2.8;3.4;2.4;1.95
SP1;21/10/2013;Ath Bilbao;Villarreal;2;0;H;2;0;H;2.2;3.4;3.2;1.78
SP1;21/10/2013;Celta;Levante;0;1;A;0;0;D;2.05;3.4;3.5;2.19
SP1;25/10/2013;Vallecano;Valladolid;0;3;A;0;2;A;1.91;3.6;3.8;1.92
SP1;26/10/2013;Barcelona;Real Madrid;2;1;H;1;0;H;1.75;4;4.33;1.47
SP1;26/10/2013;Elche;Granada;0;1;A;0;1;A;1.91;3.4;4;2.24
SP1;26/10/2013;Levante;Espanol;3;0;H;2;0;H;2.4;3.3;2.9;2.26
SP1;26/10/2013;Malaga;Celta;0;5;A;0;2;A;1.7;3.6;5;1.9
SP1;27/10/2013;Ath Madrid;Betis;5;0;H;1;0;H;1.25;5.5;12;1.55
SP1;27/10/2013;Sevilla;Osasuna;2;1;H;0;0;D;1.5;4.2;6.5;1.72
SP1;27/10/2013;Sociedad;Almeria;3;0;H;1;0;H;1.57;4;5.5;1.65
SP1;27/10/2013;Villarreal;Valencia;4;1;H;2;0;H;1.95;3.5;3.8;1.8
SP1;28/10/2013;Getafe;Ath Bilbao;0;1;A;0;1;A;2.63;3.2;2.7;1.92
SP1;29/10/2013;Celta;Barcelona;0;3;A;0;1;A;10;5.5;1.29;1.41
SP1;29/10/2013;Espanol;Malaga;0;0;D;0;0;D;1.91;3.3;4.2;2.14
SP1;30/10/2013;Osasuna;Vallecano;3;1;H;2;0;H;2.1;3.3;3.5;2.01
SP1;30/10/2013;Real Madrid;Sevilla;7;3;H;3;2;H;1.18;7;13;1.29
SP1;30/10/2013;Valencia;Almeria;1;2;A;1;0;H;1.4;4.5;8;1.53
SP1;30/10/2013;Valladolid;Sociedad;2;2;D;0;1;A;2.8;3.3;2.5;1.97
SP1;31/10/2013;Ath Bilbao;Elche;2;2;D;0;1;A;1.62;3.75;5.5;1.86
SP1;31/10/2013;Betis;Levante;0;0;D;0;0;D;1.8;3.5;4.5;2.05
SP1;31/10/2013;Granada;Ath Madrid;1;2;A;0;1;A;6;4;1.53;2.05
SP1;31/10/2013;Villarreal;Getafe;0;2;A;0;1;A;1.44;4.2;7.5;1.79
SP1;01/11/2013;Barcelona;Espanol;1;0;H;0;0;D;1.09;10;26;1.27
SP1;02/11/2013;Almeria;Valladolid;1;0;H;1;0;H;2.15;3.3;3.4;1.97
SP1;02/11/2013;Sevilla;Celta;0;1;A;0;0;D;1.5;4.33;6;1.63
SP1;02/11/2013;Sociedad;Osasuna;5;0;H;1;0;H;1.57;4;5.75;1.96
SP1;02/11/2013;Vallecano;Real Madrid;2;3;A;0;2;A;11;6;1.25;1.34
SP1;03/11/2013;Ath Madrid;Ath Bilbao;2;0;H;2;0;H;1.3;5;11;1.64
SP1;03/11/2013;Getafe;Valencia;0;1;A;0;1;A;2.6;3.2;2.75;1.95
SP1;03/11/2013;Levante;Granada;0;1;A;0;0;D;2.05;3.3;3.6;2.3
SP1;03/11/2013;Malaga;Betis;3;2;H;1;1;D;2.05;3.4;3.6;1.92
SP1;04/11/2013;Elche;Villarreal;0;1;A;0;0;D;3.3;3.3;2.2;2.13
SP1;08/11/2013;Granada;Malaga;3;1;H;0;0;D;2.3;3.2;3.2;2.26
SP1;08/11/2013;Osasuna;Almeria;0;1;A;0;1;A;2.05;3.4;3.5;2.07
SP1;09/11/2013;Ath Bilbao;Levante;2;1;H;0;1;A;1.5;4.1;6.5;1.92
SP1;09/11/2013;Celta;Vallecano;0;2;A;0;1;A;1.91;3.5;4;1.8
SP1;09/11/2013;Getafe;Elche;1;1;D;1;0;H;2.05;3.25;3.75;2.21
SP1;09/11/2013;Real Madrid;Sociedad;5;1;H;4;0;H;1.14;8;17;1.24
SP1;10/11/2013;Betis;Barcelona;1;4;A;0;2;A;11;6;1.25;1.37
SP1;10/11/2013;Espanol;Sevilla;1;3;A;1;2;A;2.38;3.25;3;1.99
SP1;10/11/2013;Valencia;Valladolid;2;2;D;1;1;D;1.53;4;6;1.72
SP1;10/11/2013;Villarreal;Ath Madrid;1;1;D;0;1;A;3.4;3.4;2.1;2.03
SP1;22/11/2013;Valladolid;Osasuna;0;1;A;0;0;D;2;3.4;3.75;2.18
SP1;23/11/2013;Almeria;Real Madrid;0;5;A;0;1;A;9.5;5.5;1.29;1.34
SP1;23/11/2013;Ath Madrid;Getafe;7;0;H;2;0;H;1.22;5.75;13;1.64
SP1;23/11/2013;Barcelona;Granada;4;0;H;2;0;H;1.13;8.5;17;1.38
SP1;23/11/2013;Sociedad;Celta;4;3;H;1;2;A;1.67;3.6;5.25;1.8
SP1;24/11/2013;Elche;Valencia;2;1;H;0;0;D;2.75;3.3;2.5;2.22
SP1;24/11/2013;Levante;Villarreal;0;3;A;0;1;A;3.5;3.3;2.1;2.16
SP1;24/11/2013;Sevilla;Betis;4;0;H;2;0;H;1.67;3.75;5;1.64
SP1;24/11/2013;Vallecano;Espanol;1;4;A;0;1;A;2.4;3.3;2.88;2.04
SP1;25/11/2013;Malaga;Ath Bilbao;1;2;A;1;0;H;2.6;3.25;2.7;1.86
SP1;29/11/2013;Getafe;Levante;1;0;H;0;0;D;1.83;3.4;4.5;2.03
SP1;29/11/2013;Villarreal;Malaga;1;1;D;1;0;H;1.44;4.33;7;1.83
SP1;30/11/2013;Celta;Almeria;3;1;H;1;1;D;1.91;3.4;4;1.92
SP1;30/11/2013;Elche;Ath Madrid;0;2;A;0;0;D;7;4;1.5;2.1
SP1;30/11/2013;Espanol;Sociedad;1;2;A;1;0;H;2.2;3.4;3.2;2.02
SP1;30/11/2013;Real Madrid;Valladolid;4;0;H;2;0;H;1.13;8.5;17;1.23
SP1;01/12/2013;Ath Bilbao;Barcelona;1;0;H;0;0;D;5;4.2;1.6;1.53
SP1;01/12/2013;Betis;Vallecano;2;2;D;1;0;H;1.91;3.4;4;1.79
SP1;01/12/2013;Granada;Sevilla;1;2;A;0;1;A;2.8;3.25;2.5;2.06
SP1;01/12/2013;Valencia;Osasuna;3;0;H;1;0;H;1.4;4.5;8;1.8
SP1;13/12/2013;Levante;Elche;2;1;H;1;1;D;2.3;3.1;3.25;2.38
SP1;14/12/2013;Barcelona;Villarreal;2;1;H;1;0;H;1.29;5.5;11;1.43
SP1;14/12/2013;Malaga;Getafe;1;0;H;0;0;D;2;3.4;3.75;2.01
SP1;14/12/2013;Osasuna;Real Madrid;2;2;D;2;1;H;11;6.5;1.22;1.37
SP1;14/12/2013;Vallecano;Granada;0;2;A;0;1;A;2.05;3.3;3.6;2.07
SP1;15/12/2013;Almeria;Espanol;0;0;D;0;0;D;2.7;3.2;2.63;2.15
SP1;15/12/2013;Ath Madrid;Valencia;3;0;H;0;0;D;1.33;4.75;10;1.75
SP1;15/12/2013;Sevilla;Ath Bilbao;1;1;D;1;1;D;1.95;3.5;3.75;1.71
SP1;15/12/2013;Sociedad;Betis;5;1;H;1;1;D;1.73;3.6;4.75;1.67
SP1;16/12/2013;Valladolid;Celta;3;0;H;0;0;D;2.38;3.25;3;1.99
SP1;20/12/2013;Elche;Malaga;0;1;A;0;1;A;2.3;3.2;3.2;2.31
