Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;odd_H;odd_D;odd_A;odd_over25
SP1;30/08/2008;Espanol;Valladolid;1;0;H;0;0;D;2;3.3;3.8;2.04
SP1;30/08/2008;Valencia;Mallorca;3;0;H;2;0;H;1.7;3.6;5.25;1.92
SP1;31/08/2008;Ath Bilbao;Almeria;1;3;A;0;2;A;2;3.3;3.8;2.16
SP1;31/08/2008;Ath Madrid;Malaga;4;0;H;3;0;H;1.44;4.2;7.5;1.76
SP1;31/08/2008;Betis;Recreativo;0;1;A;0;1;A;2;3.25;3.8;2.07
SP1;31/08/2008;La Coruna;Real Madrid;2;1;H;1;0;H;3.5;3.3;2.1;1.84
SP1;31/08/2008;Numancia;Barcelona;1;0;H;1;0;H;7;4;1.5;1.72
SP1;31/08/2008;Osasuna;Villarreal;1;1;D;0;0;D;2.8;3.3;2.5;2.1
SP1;31/08/2008;Santander;Sevilla;1;1;D;0;0;D;2.8;3.3;2.5;1.9
SP1;31/08/2008;Sp Gijon;Getafe;1;2;A;1;1;D;2.62;3.3;2.62;2.16
SP1;13/09/2008;Barcelona;Santander;1;1;D;0;0;D;1.29;5;12;1.63
SP1;13/09/2008;Valladolid;Ath Madrid;2;1;H;2;0;H;3.2;3.4;2.2;1.99
SP1;14/09/2008;Almeria;Valencia;2;2;D;2;1;H;2.75;3.3;2.5;2.04
SP1;14/09/2008;Getafe;Betis;0;0;D;0;0;D;2.1;3.3;3.5;2.15
SP1;14/09/2008;Malaga;Ath Bilbao;0;0;D;0;0;D;2.5;3.25;2.8;2.17
SP1;14/09/2008;Mallorca;Osasuna;1;1;D;1;0;H;2.2;3.2;3.4;2.1
SP1;14/09/2008;Real Madrid;Numancia;4;3;H;4;2;H;1.25;5.5;12;1.57
SP1;14/09/2008;Recreativo;Espanol;0;1;A;0;0;D;2.3;3.3;3.1;2.11
SP1;14/09/2008;Sevilla;Sp Gijon;4;3;H;3;3;D;1.33;5;9;1.67
SP1;14/09/2008;Villarreal;La Coruna;1;0;H;1;0;H;2;3.25;4;2.02
SP1;20/09/2008;Ath Madrid;Recreativo;4;0;H;1;0;H;1.5;3.8;7.25;1.86
SP1;20/09/2008;Espanol;Getafe;1;1;D;0;0;D;2.1;3.3;3.5;2.22
SP1;21/09/2008;Almeria;Malaga;1;0;H;0;0;D;1.83;3.5;4.33;2.12
SP1;21/09/2008;Ath Bilbao;Valladolid;2;0;H;0;0;D;2;3.3;3.75;2.16
SP1;21/09/2008;Betis;Sevilla;0;0;D;0;0;D;3.1;3.25;2.3;1.99
SP1;21/09/2008;La Coruna;Mallorca;0;0;D;0;0;D;1.91;3.3;4.2;2.12
SP1;21/09/2008;Numancia;Villarreal;1;2;A;1;0;H;3;3.4;2.3;2.09
SP1;21/09/2008;Santander;Real Madrid;0;2;A;0;0;D;3.4;3.4;2.1;1.8
SP1;21/09/2008;Sp Gijon;Barcelona;1;6;A;0;2;A;7.5;3.8;1.5;1.72
