Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;odd_H;odd_D;odd_A;odd_over25
SP1;28/08/2004;Ath Madrid;Malaga;2;0;H;1;0;H;1.72;3.25;4.33;2.05
SP1;28/08/2004;Espanol;La Coruna;1;1;D;1;0;H;2.87;3.2;2.4;2.05
SP1;28/08/2004;Numancia;Betis;1;1;D;1;1;D;2.5;3.2;2.5;2.1
SP1;29/08/2004;Mallorca;Real Madrid;0;1;A;0;0;D;5;3.4;1.72;1.75
SP1;29/08/2004;Osasuna;Ath Bilbao;1;1;D;1;1;D;2.3;3.2;2.7;2.05
SP1;29/08/2004;Santander;Barcelona;0;2;A;0;0;D;5;3.4;1.72;1.85
SP1;29/08/2004;Sevilla;Albacete;1;0;H;0;0;D;1.66;3.4;4.5;2.1
SP1;29/08/2004;Sociedad;Levante;1;1;D;0;1;A;1.72;3.25;4.33;2
SP1;29/08/2004;Zaragoza;Getafe;3;1;H;1;1;D;1.72;3.25;4.33;2.1
SP1;30/08/2004;Valencia;Villarreal;2;1;H;2;0;H;1.61;3.4;5;1.9
SP1;11/09/2004;Ath Bilbao;Valencia;2;2;D;2;0;H;2.7;3.2;2.3;2.05
SP1;11/09/2004;Barcelona;Sevilla;2;0;H;1;0;H;1.444;4;7.5;1.75
SP1;11/09/2004;Real Madrid;Numancia;1;0;H;1;0;H;1.2;6;13;1.53
SP1;12/09/2004;Albacete;Ath Madrid;0;2;A;0;0;D;2.75;3.2;2.5;2.1
SP1;12/09/2004;Betis;Espanol;1;4;A;0;2;A;2;3.25;3.25;2.05
SP1;12/09/2004;Getafe;Mallorca;1;2;A;0;1;A;2.375;3.2;2.625;2.05
SP1;12/09/2004;La Coruna;Osasuna;1;3;A;1;0;H;1.444;3.75;6.5;2
SP1;12/09/2004;Levante;Santander;3;1;H;0;1;A;2.1;3.2;3.1;2.05
SP1;12/09/2004;Malaga;Zaragoza;0;0;D;0;0;D;2.1;3.25;3;2
SP1;12/09/2004;Villarreal;Sociedad;0;0;D;0;0;D;1.727;3.25;4.333;1.95
SP1;18/09/2004;Espanol;Real Madrid;1;0;H;1;0;H;3.75;3.2;2;1.85
SP1;18/09/2004;Osasuna;Betis;3;2;H;0;1;A;2;3.25;3.25;2.1
SP1;18/09/2004;Valencia;Sociedad;3;1;H;1;0;H;1.44;3.75;6.5;1.85
SP1;19/09/2004;Ath Bilbao;La Coruna;1;2;A;0;0;D;2.3;3.2;2.7;2.05
SP1;19/09/2004;Ath Madrid;Barcelona;1;1;D;0;1;A;2.75;3.25;2.25;1.9
SP1;19/09/2004;Mallorca;Malaga;1;2;A;0;1;A;1.9;3.25;3.5;2
SP1;19/09/2004;Numancia;Getafe;1;0;H;1;0;H;1.9;3.25;3.5;2.15
SP1;19/09/2004;Santander;Villarreal;1;1;D;0;0;D;2.3;3.2;2.7;2.1
SP1;19/09/2004;Sevilla;Levante;3;0;H;1;0;H;1.72;3.25;4.33;2.05
SP1;19/09/2004;Zaragoza;Albacete;4;3;H;1;2;A;1.72;3.25;4.33;2.05
SP1;21/09/2004;Real Madrid;Osasuna;1;0;H;0;0;D;1.44;3.75;6.5;1.8
