Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;odd_H;odd_D;odd_A;odd_over25
SP1;21/08/2015;Malaga;Sevilla;0;0;D;0;0;D;3.4;3.4;2.15;1.86
SP1;22/08/2015;Ath Madrid;Las Palmas;1;0;H;1;0;H;1.2;6.5;15;1.82
SP1;22/08/2015;Espanol;Getafe;1;0;H;1;0;H;1.91;3.4;4.33;2.37
SP1;22/08/2015;La Coruna;Sociedad;0;0;D;0;0;D;2.5;3.2;3;2.37
SP1;22/08/2015;Vallecano;Valencia;0;0;D;0;0;D;3.6;3.5;2.05;1.75
SP1;23/08/2015;Ath Bilbao;Barcelona;0;1;A;0;0;D;6.5;4.33;1.5;1.6
SP1;23/08/2015;Betis;Villarreal;1;1;D;0;1;A;2.8;3.25;2.6;2.12
SP1;23/08/2015;Levante;Celta;1;2;A;0;1;A;3.6;3.3;2.15;2.31
SP1;23/08/2015;Sp Gijon;Real Madrid;0;0;D;0;0;D;13;6.5;1.22;1.5
SP1;24/08/2015;Granada;Eibar;1;3;A;0;2;A;1.91;3.3;4.5;2.68
SP1;28/08/2015;Villarreal;Espanol;3;1;H;0;1;A;1.57;3.8;6.5;2.11
SP1;29/08/2015;Barcelona;Malaga;1;0;H;0;0;D;1.1;10;26;1.37
SP1;29/08/2015;Celta;Vallecano;3;0;H;1;0;H;1.53;4.33;6;1.68
SP1;29/08/2015;Real Madrid;Betis;5;0;H;2;0;H;1.1;10;26;1.28
SP1;29/08/2015;Sociedad;Sp Gijon;0;0;D;0;0;D;1.85;3.5;4.5;2.3
SP1;30/08/2015;Eibar;Ath Bilbao;2;0;H;1;0;H;4;3.1;2.1;2.59
SP1;30/08/2015;Getafe;Granada;1;2;A;0;2;A;2.05;3.2;4;2.51
SP1;30/08/2015;Las Palmas;Levante;0;0;D;0;0;D;1.91;3.3;4.5;2.42
SP1;30/08/2015;Sevilla;Ath Madrid;0;3;A;0;1;A;2.8;3.2;2.63;2.2
SP1;30/08/2015;Valencia;La Coruna;1;1;D;1;1;D;1.44;4.33;8;1.81
SP1;11/09/2015;Levante;Sevilla;1;1;D;0;1;A;4.75;3.75;1.75;2.06
SP1;12/09/2015;Ath Madrid;Barcelona;1;2;A;0;0;D;3.3;3.2;2.3;2.13
SP1;12/09/2015;Betis;Sociedad;1;0;H;1;0;H;2.3;3.3;3.2;2.14
SP1;12/09/2015;Espanol;Real Madrid;0;6;A;0;4;A;10;5;1.33;1.49
SP1;12/09/2015;Sp Gijon;Valencia;0;1;A;0;0;D;3.4;3.2;2.25;2.21
SP1;13/09/2015;Ath Bilbao;Getafe;3;1;H;2;0;H;1.57;3.75;7;2.11
SP1;13/09/2015;Celta;Las Palmas;3;3;D;2;1;H;1.5;4.2;7;1.83
SP1;13/09/2015;Granada;Villarreal;1;3;A;0;0;D;3.5;3.1;2.25;2.34
SP1;13/09/2015;Malaga;Eibar;0;0;D;0;0;D;1.75;3.5;5.25;2.24
SP1;14/09/2015;Vallecano;La Coruna;1;3;A;1;2;A;2.1;3.5;3.5;1.88
SP1;18/09/2015;Getafe;Malaga;1;0;H;1;0;H;2.6;3.1;2.9;2.54
SP1;19/09/2015;Eibar;Ath Madrid;0;2;A;0;0;D;7;3.75;1.57;2.39
SP1;19/09/2015;Real Madrid;Granada;1;0;H;0;0;D;1.06;15;26;1.2
SP1;19/09/2015;Sociedad;Espanol;2;3;A;1;1;D;2;3.4;4;2.26
SP1;19/09/2015;Valencia;Betis;0;0;D;0;0;D;1.5;4.33;6.5;1.72
SP1;20/09/2015;Barcelona;Levante;4;1;H;0;0;D;1.06;12;29;1.21
SP1;20/09/2015;La Coruna;Sp Gijon;2;3;A;2;3;A;2.05;3.1;4.2;2.39
SP1;20/09/2015;Las Palmas;Vallecano;0;1;A;0;1;A;1.91;3.5;4;1.8
SP1;20/09/2015;Sevilla;Celta;1;2;A;0;2;A;1.8;3.75;4.33;1.69
SP1;20/09/2015;Villarreal;Ath Bilbao;3;1;H;1;0;H;2;3.5;3.75;2.22
SP1;22/09/2015;Ath Madrid;Getafe;2;0;H;1;0;H;1.25;5.5;15;1.95
SP1;22/09/2015;Espanol;Valencia;1;0;H;1;0;H;3.25;3.25;2.3;2.15
SP1;22/09/2015;Granada;Sociedad;0;3;A;0;2;A;2.4;3.1;3.2;2.45
SP1;23/09/2015;Ath Bilbao;Real Madrid;1;2;A;0;1;A;5.25;4.2;1.62;1.56
SP1;23/09/2015;Celta;Barcelona;4;1;H;2;0;H;6.5;4.5;1.5;1.48
SP1;23/09/2015;Las Palmas;Sevilla;2;0;H;1;0;H;3.3;3.4;2.2;1.88
SP1;23/09/2015;Levante;Eibar;2;2;D;0;1;A;2.38;3.1;3.25;2.67
SP1;23/09/2015;Malaga;Villarreal;0;1;A;0;0;D;2.63;3.3;2.75;2.27
SP1;23/09/2015;Vallecano;Sp Gijon;2;1;H;1;0;H;2.25;3.4;3.2;1.92
SP1;24/09/2015;Betis;La Coruna;1;2;A;0;0;D;2.25;3.3;3.3;2.16
SP1;25/09/2015;Valencia;Granada;1;0;H;1;0;H;1.45;4.5;7.5;1.84
SP1;26/09/2015;Barcelona;Las Palmas;2;1;H;1;0;H;1.08;11;26;1.25
SP1;26/09/2015;Eibar;Celta;1;1;D;1;0;H;3.75;3.4;2.05;2.18
SP1;26/09/2015;Real Madrid;Malaga;0;0;D;0;0;D;1.11;10;21;1.35
SP1;26/09/2015;Sevilla;Vallecano;3;2;H;2;0;H;1.44;4.75;7;1.53
SP1;26/09/2015;Villarreal;Ath Madrid;1;0;H;1;0;H;2.9;3.1;2.6;2.44
SP1;27/09/2015;Getafe;Levante;3;0;H;0;0;D;1.95;3.3;4.2;2.46
SP1;27/09/2015;La Coruna;Espanol;3;0;H;2;0;H;2.1;3.3;3.75;2.22
SP1;27/09/2015;Sociedad;Ath Bilbao;0;0;D;0;0;D;2.4;3.2;3;2.25
SP1;27/09/2015;Sp Gijon;Betis;1;2;A;1;0;H;2.3;3.2;3.3;2.24
SP1;02/10/2015;Celta;Getafe;0;0;D;0;0;D;1.44;4.5;7.5;1.78
SP1;03/10/2015;Espanol;Sp Gijon;1;2;A;0;1;A;2;3.3;4;2.25
SP1;03/10/2015;Granada;La Coruna;1;1;D;0;1;A;2.6;3.2;2.8;2.38
SP1;03/10/2015;Las Palmas;Eibar;0;2;A;0;1;A;2.1;3.3;3.75;2.34
SP1;03/10/2015;Malaga;Sociedad;3;1;H;2;1;H;2.38;3.1;3.3;2.41
SP1;03/10/2015;Sevilla;Barcelona;2;1;H;0;0;D;4;3.6;1.91;1.63
SP1;04/10/2015;Ath Bilbao;Valencia;3;1;H;1;1;D;2.3;3.3;3.2;2.22
SP1;04/10/2015;Ath Madrid;Real Madrid;1;1;D;0;1;A;3.2;3.3;2.3;2.04
SP1;04/10/2015;Levante;Villarreal;1;0;H;0;0;D;4.33;3.4;1.91;2.22
SP1;04/10/2015;Vallecano;Betis;0;2;A;0;1;A;2.2;3.5;3.2;1.66
SP1;17/10/2015;Barcelona;Vallecano;5;2;H;2;1;H;1.14;9;15;1.25
SP1;17/10/2015;Betis;Espanol;1;3;A;0;1;A;2;3.3;4;2.11
SP1;17/10/2015;Eibar;Sevilla;1;1;D;1;0;H;3.6;3.4;2.1;2.03
SP1;17/10/2015;Real Madrid;Levante;3;0;H;2;0;H;1.08;12;23;1.28
SP1;17/10/2015;Valencia;Malaga;3;0;H;2;0;H;1.62;3.75;6;1.98
SP1;18/10/2015;Getafe;Las Palmas;4;0;H;2;0;H;2.15;3.2;3.6;2.37
SP1;18/10/2015;La Coruna;Ath Bilbao;2;2;D;0;1;A;2.7;3.1;2.8;2.35
SP1;18/10/2015;Sociedad;Ath Madrid;0;2;A;0;1;A;4;3.2;2.05;2.59
SP1;18/10/2015;Villarreal;Celta;1;2;A;0;1;A;2;3.5;3.75;1.78
SP1;19/10/2015;Sp Gijon;Granada;3;3;D;1;2;A;2;3.2;4.2;2.37
SP1;23/10/2015;Vallecano;Espanol;3;0;H;1;0;H;2.2;3.4;3.2;1.92
SP1;24/10/2015;Celta;Real Madrid;1;3;A;0;2;A;3.8;3.8;1.91;1.53
SP1;24/10/2015;Granada;Betis;1;1;D;1;1;D;2.3;3.25;3.25;2.14
SP1;24/10/2015;Malaga;La Coruna;2;0;H;0;0;D;2.25;3.25;3.4;2.22
SP1;24/10/2015;Sevilla;Getafe;5;0;H;2;0;H;1.44;4.33;8;1.72
SP1;25/10/2015;Ath Madrid;Valencia;2;1;H;2;0;H;1.57;3.8;6.5;2.2
SP1;25/10/2015;Barcelona;Eibar;3;1;H;1;1;D;1.11;10;19;1.3
SP1;25/10/2015;Las Palmas;Villarreal;0;0;D;0;0;D;3.5;3.25;2.2;2.18
SP1;25/10/2015;Levante;Sociedad;0;4;A;0;2;A;2.63;3.2;2.8;2.55
SP1;26/10/2015;Ath Bilbao;Sp Gijon;3;0;H;2;0;H;1.53;4;7;1.99
SP1;30/10/2015;La Coruna;Ath Madrid;1;1;D;0;1;A;5.5;3.4;1.7;2.36
SP1;31/10/2015;Getafe;Barcelona;0;2;A;0;1;A;10;5.75;1.29;1.5
SP1;31/10/2015;Real Madrid;Las Palmas;3;1;H;3;1;H;1.09;11;23;1.25
SP1;31/10/2015;Sociedad;Celta;2;3;A;2;1;H;2.7;3.2;2.75;1.98
SP1;31/10/2015;Valencia;Levante;3;0;H;0;0;D;1.44;4.5;7.5;1.94
SP1;31/10/2015;Villarreal;Sevilla;2;1;H;1;0;H;2.25;3.4;3.25;1.87
SP1;01/11/2015;Betis;Ath Bilbao;1;3;A;0;2;A;3.25;3.25;2.3;2.09
SP1;01/11/2015;Eibar;Vallecano;1;0;H;1;0;H;2.2;3.4;3.3;1.98
SP1;01/11/2015;Espanol;Granada;1;1;D;0;0;D;2;3.3;4;2.18
SP1;01/11/2015;Sp Gijon;Malaga;1;0;H;1;0;H;2.38;3.2;3.2;2.18
SP1;06/11/2015;Las Palmas;Sociedad;2;0;H;1;0;H;2.75;3.1;2.75;2.32
SP1;07/11/2015;Celta;Valencia;1;5;A;1;2;A;1.85;3.75;4.2;1.74
SP1;07/11/2015;Eibar;Getafe;3;1;H;2;1;H;2.1;3.25;3.75;2.54
SP1;07/11/2015;Levante;La Coruna;1;1;D;0;1;A;2.6;3.1;2.9;2.41
SP1;07/11/2015;Malaga;Betis;0;1;A;0;0;D;1.95;3.5;4;2.08
SP1;07/11/2015;Vallecano;Granada;2;1;H;2;0;H;1.95;3.5;4;1.9
SP1;08/11/2015;Ath Bilbao;Espanol;2;1;H;1;0;H;1.44;4.5;7.5;1.81
SP1;08/11/2015;Ath Madrid;Sp Gijon;1;0;H;0;0;D;1.2;6.5;17;1.8
SP1;08/11/2015;Barcelona;Villarreal;3;0;H;0;0;D;1.3;5.5;10;1.53
SP1;08/11/2015;Sevilla;Real Madrid;3;2;H;1;1;D;3.6;4;1.91;1.46
SP1;21/11/2015;Espanol;Malaga;2;0;H;2;0;H;2.4;3.2;3.1;2.31
SP1;21/11/2015;La Coruna;Celta;2;0;H;1;0;H;3.3;3.4;2.2;1.83
SP1;21/11/2015;Real Madrid;Barcelona;0;4;A;0;2;A;2.5;3.75;2.8;1.49
SP1;21/11/2015;Sociedad;Sevilla;2;0;H;0;0;D;2.63;3.3;2.7;1.78
SP1;21/11/2015;Valencia;Las Palmas;1;1;D;1;0;H;1.44;4.2;7.5;1.85
SP1;22/11/2015;Betis;Ath Madrid;0;1;A;0;1;A;5.5;3.8;1.67;2.11
SP1;22/11/2015;Granada;Ath Bilbao;2;0;H;1;0;H;3.75;3.3;2.1;2.16
SP1;22/11/2015;Sp Gijon;Levante;0;3;A;0;3;A;2.2;3.2;3.5;2.31
SP1;22/11/2015;Villarreal;Eibar;1;1;D;0;1;A;1.53;4;7;2.1
SP1;23/11/2015;Getafe;Vallecano;1;1;D;0;0;D;2.4;3.3;3;1.97
SP1;27/11/2015;Levante;Betis;0;1;A;0;1;A;2.05;3.4;3.75;2.16
SP1;28/11/2015;Ath Madrid;Espanol;1;0;H;1;0;H;1.22;6;15;1.84
SP1;28/11/2015;Barcelona;Sociedad;4;0;H;2;0;H;1.07;13;23;1.23
SP1;28/11/2015;Celta;Sp Gijon;2;1;H;1;0;H;1.4;5;7.5;1.55
SP1;28/11/2015;Las Palmas;La Coruna;0;2;A;0;1;A;2.3;3.3;3.2;2.26
SP1;28/11/2015;Malaga;Granada;2;2;D;1;0;H;1.83;3.4;4.75;2.29
SP1;29/11/2015;Eibar;Real Madrid;0;2;A;0;1;A;7.5;5;1.4;1.49
SP1;29/11/2015;Getafe;Villarreal;2;0;H;1;0;H;3;3.3;2.4;2.3
SP1;29/11/2015;Sevilla;Valencia;1;0;H;0;0;D;1.75;4;4.33;1.61
SP1;29/11/2015;Vallecano;Ath Bilbao;0;3;A;0;2;A;3.1;3.4;2.3;1.84
SP1;05/12/2015;Betis;Celta;1;1;D;0;1;A;3.3;3.5;2.15;1.71
SP1;05/12/2015;Granada;Ath Madrid;0;2;A;0;1;A;7;3.75;1.57;2.42
SP1;05/12/2015;La Coruna;Sevilla;1;1;D;1;0;H;3;3.3;2.4;1.76
SP1;05/12/2015;Real Madrid;Getafe;4;1;H;4;0;H;1.1;11;21;1.26
SP1;05/12/2015;Valencia;Barcelona;1;1;D;0;0;D;9;6;1.3;1.4
SP1;06/12/2015;Ath Bilbao;Malaga;0;0;D;0;0;D;1.45;4.33;7.5;1.84
SP1;06/12/2015;Sociedad;Eibar;2;1;H;1;1;D;1.85;3.5;4.5;2.18
SP1;06/12/2015;Sp Gijon;Las Palmas;3;1;H;1;1;D;2.3;3.3;3.25;2.16
SP1;06/12/2015;Villarreal;Vallecano;2;1;H;0;1;A;1.57;3.8;6.5;1.77
SP1;07/12/2015;Espanol;Levante;1;1;D;0;1;A;2;3.5;3.8;2.31
SP1;11/12/2015;Getafe;Sociedad;1;1;D;0;0;D;2.88;3.2;2.6;2.28
SP1;12/12/2015;Barcelona;La Coruna;2;2;D;1;0;H;1.07;13;26;1.24
SP1;12/12/2015;Celta;Espanol;1;0;H;1;0;H;1.53;4.33;6;1.71
SP1;12/12/2015;Las Palmas;Betis;1;0;H;0;0;D;2.15;3.3;3.5;2.05
SP1;12/12/2015;Levante;Granada;1;2;A;0;0;D;2.1;3.1;4;2.42
SP1;12/12/2015;Sevilla;Sp Gijon;2;0;H;0;0;D;1.36;5;8.5;1.5
SP1;13/12/2015;Ath Madrid;Ath Bilbao;2;1;H;1;1;D;1.57;3.75;7;2.22
SP1;13/12/2015;Eibar;Valencia;1;1;D;1;0;H;2.45;3.2;3;2.17
SP1;13/12/2015;Vallecano;Malaga;1;2;A;1;0;H;2.3;3.25;3.25;2.07
SP1;13/12/2015;Villarreal;Real Madrid;1;0;H;1;0;H;5;4.2;1.65;1.5
SP1;19/12/2015;Betis;Sevilla;0;0;D;0;0;D;3.75;3.5;2;1.66
SP1;19/12/2015;Espanol;Las Palmas;1;0;H;0;0;D;2.05;3.4;3.75;2.19
SP1;19/12/2015;La Coruna;Eibar;2;0;H;1;0;H;2;3.3;4;2.34
SP1;19/12/2015;Valencia;Getafe;2;2;D;2;2;D;1.67;3.75;5.5;2
SP1;20/12/2015;Ath Bilbao;Levante;2;0;H;0;0;D;1.4;4.5;9;1.95
SP1;20/12/2015;Granada;Celta;0;2;A;0;2;A;3.2;3.3;2.3;2.04
SP1;20/12/2015;Malaga;Ath Madrid;1;0;H;0;0;D;5.25;3.5;1.75;2.5
SP1;20/12/2015;Real Madrid;Vallecano;10;2;H;4;2;H;1.1;11;21;1.16
SP1;20/12/2015;Sociedad;Villarreal;0;2;A;0;1;A;2.4;3.2;3.1;2.23
SP1;30/12/2015;Barcelona;Betis;4;0;H;2;0;H;1.06;13;26;1.2
SP1;30/12/2015;Celta;Ath Bilbao;0;1;A;0;0;D;2.38;3.3;2.9;1.95
SP1;30/12/2015;Eibar;Sp Gijon;2;0;H;0;0;D;1.85;3.5;4.2;2.25
SP1;30/12/2015;Getafe;La Coruna;0;0;D;0;0;D;2.5;3.2;2.88;2.41
SP1;30/12/2015;Las Palmas;Granada;4;1;H;1;0;H;2;3.3;3.75;2.32
SP1;30/12/2015;Levante;Malaga;0;1;A;0;0;D;2.75;3;2.75;2.42
SP1;30/12/2015;Real Madrid;Sociedad;3;1;H;1;0;H;1.1;10;19;1.26
SP1;30/12/2015;Sevilla;Espanol;2;0;H;2;0;H;1.4;4.75;7;1.58
SP1;30/12/2015;Vallecano;Ath Madrid;0;2;A;0;0;D;6.5;3.8;1.53;2.03
SP1;31/12/2015;Villarreal;Valencia;1;0;H;0;0;D;1.8;3.5;4.5;2.13
SP1;02/01/2016;Ath Madrid;Levante;1;0;H;0;0;D;1.2;6.5;17;1.95
SP1;02/01/2016;Espanol;Barcelona;0;0;D;0;0;D;14;7;1.2;1.41
SP1;02/01/2016;Malaga;Celta;2;0;H;2;0;H;2.4;3.3;3;2.25
SP1;03/01/2016;Ath Bilbao;Las Palmas;2;2;D;1;0;H;1.36;5;8.5;1.94
