Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;odd_H;odd_D;odd_A;odd_over25
SP1;25/08/2007;Real Madrid;Ath Madrid;2;1;H;1;1;D;1.72;3.5;4.75;1.88
SP1;25/08/2007;Sevilla;Getafe;4;1;H;0;1;A;1.4;4;9;1.87
SP1;26/08/2007;Ath Bilbao;Osasuna;0;0;D;0;0;D;2.05;3.2;3.6;2.16
SP1;26/08/2007;Espanol;Valladolid;0;1;A;0;0;D;1.83;3.25;4.5;2.01
SP1;26/08/2007;La Coruna;Almeria;0;3;A;0;2;A;1.72;3.4;5;2.06
SP1;26/08/2007;Mallorca;Levante;3;0;H;1;0;H;1.9;3.1;4.33;2.12
SP1;26/08/2007;Murcia;Zaragoza;2;1;H;1;1;D;3.4;3.2;2.15;2.16
SP1;26/08/2007;Recreativo;Betis;1;1;D;1;1;D;2.2;3.2;3.25;2.21
SP1;26/08/2007;Santander;Barcelona;0;0;D;0;0;D;7.5;4;1.44;1.86
SP1;26/08/2007;Valencia;Villarreal;0;3;A;0;1;A;1.72;3.4;5;2.05
SP1;01/09/2007;Levante;Murcia;0;0;D;0;0;D;2.2;3.2;3.25;2.13
SP1;01/09/2007;Zaragoza;Santander;1;1;D;0;0;D;1.66;3.6;5;2.07
SP1;02/09/2007;Almeria;Valencia;1;2;A;0;0;D;3.2;3.1;2.25;2.07
SP1;02/09/2007;Ath Madrid;Mallorca;1;1;D;0;1;A;1.72;3.4;5;2
SP1;02/09/2007;Barcelona;Ath Bilbao;3;1;H;2;0;H;1.16;6.5;15;1.65
SP1;02/09/2007;Betis;Espanol;2;2;D;0;2;A;2.05;3.25;3.6;2.15
SP1;02/09/2007;Getafe;Recreativo;1;1;D;0;0;D;2.1;3.25;3.4;2.1
SP1;02/09/2007;Valladolid;La Coruna;2;2;D;1;0;H;2.1;3.2;3.5;2.13
SP1;02/09/2007;Villarreal;Real Madrid;0;5;A;0;1;A;2.87;3.25;2.37;1.94
SP1;15/09/2007;Ath Bilbao;Zaragoza;1;1;D;1;1;D;2.4;3.25;2.9;2.09
SP1;15/09/2007;Real Madrid;Almeria;3;1;H;1;0;H;1.18;6.75;15;1.59
SP1;15/09/2007;Valencia;Valladolid;2;1;H;1;1;D;1.5;4;6.75;2.03
SP1;16/09/2007;Espanol;Getafe;1;0;H;0;0;D;2.1;3.3;3.5;2.09
SP1;16/09/2007;La Coruna;Betis;1;0;H;1;0;H;2.3;3.1;3.25;2.11
SP1;16/09/2007;Mallorca;Villarreal;0;1;A;0;0;D;2.37;3.25;3;2.08
SP1;16/09/2007;Murcia;Ath Madrid;1;1;D;0;1;A;3.1;3.25;2.3;2.12
SP1;16/09/2007;Osasuna;Barcelona;0;0;D;0;0;D;6.25;4;1.53;1.88
SP1;16/09/2007;Santander;Levante;1;0;H;1;0;H;1.9;3.3;4.2;2.13
