Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;odd_H;odd_D;odd_A;odd_over25
SP1;18/08/2017;Leganes;Alaves;1;0;H;1;0;H;2.05;3.2;4.1;2.68
SP1;18/08/2017;Valencia;Las Palmas;1;0;H;1;0;H;1.75;3.8;4.5;1.64
SP1;19/08/2017;Celta;Sociedad;2;3;A;1;1;D;2.38;3.25;3.2;1.98
SP1;19/08/2017;Girona;Ath Madrid;2;2;D;2;0;H;8;4.33;1.45;2.11
SP1;19/08/2017;Sevilla;Espanol;1;1;D;1;1;D;1.62;4;5.5;1.75
SP1;20/08/2017;Ath Bilbao;Getafe;0;0;D;0;0;D;1.5;4;7.5;1.94
SP1;20/08/2017;Barcelona;Betis;2;0;H;2;0;H;1.17;8;15;1.4
SP1;20/08/2017;La Coruna;Real Madrid;0;3;A;0;2;A;9.5;5.75;1.3;1.46
SP1;21/08/2017;Levante;Villarreal;1;0;H;0;0;D;3.25;3.25;2.3;2.36
SP1;21/08/2017;Malaga;Eibar;0;1;A;0;0;D;2.1;3.3;3.7;2.14
SP1;25/08/2017;Betis;Celta;2;1;H;1;1;D;2.2;3.4;3.4;1.97
SP1;25/08/2017;Sociedad;Villarreal;3;0;H;3;0;H;2.05;3.4;3.75;2.07
SP1;26/08/2017;Alaves;Barcelona;0;2;A;0;0;D;10;5.75;1.29;1.57
SP1;26/08/2017;Girona;Malaga;1;0;H;1;0;H;2.15;3.25;3.6;2.2
SP1;26/08/2017;Las Palmas;Ath Madrid;1;5;A;0;2;A;4.75;3.75;1.75;2.09
SP1;26/08/2017;Levante;La Coruna;2;2;D;1;2;A;2.2;3.1;3.6;2.31
SP1;27/08/2017;Eibar;Ath Bilbao;0;1;A;0;1;A;2.5;3.1;3.1;2.2
SP1;27/08/2017;Espanol;Leganes;0;1;A;0;1;A;1.95;3.25;4.33;2.49
SP1;27/08/2017;Getafe;Sevilla;0;1;A;0;0;D;3.6;3.3;2.15;1.87
SP1;27/08/2017;Real Madrid;Valencia;2;2;D;1;1;D;1.17;8;15;1.22
SP1;08/09/2017;Leganes;Getafe;1;2;A;0;1;A;2.05;3.25;4;2.41
SP1;09/09/2017;Barcelona;Espanol;5;0;H;2;0;H;1.17;8;17;1.34
SP1;09/09/2017;Real Madrid;Levante;1;1;D;1;1;D;1.05;15;34;1.17
SP1;09/09/2017;Sevilla;Eibar;3;0;H;0;0;D;1.57;4;6;1.69
SP1;09/09/2017;Valencia;Ath Madrid;0;0;D;0;0;D;3.6;3.2;2.2;2.11
SP1;10/09/2017;Ath Bilbao;Girona;2;0;H;1;0;H;1.67;3.75;5.5;1.95
SP1;10/09/2017;Celta;Alaves;1;0;H;1;0;H;1.67;3.75;5.25;2
SP1;10/09/2017;La Coruna;Sociedad;2;4;A;1;2;A;2.75;3.3;2.6;1.96
SP1;10/09/2017;Villarreal;Betis;3;1;H;1;1;D;1.85;3.6;4.33;2.02
SP1;11/09/2017;Malaga;Las Palmas;1;3;A;0;1;A;2;3.5;3.8;1.88
SP1;15/09/2017;Eibar;Leganes;1;0;H;0;0;D;2.05;3.25;4;2.42
SP1;16/09/2017;Ath Madrid;Malaga;1;0;H;0;0;D;1.22;6;15;1.73
SP1;16/09/2017;Betis;La Coruna;2;1;H;1;1;D;1.83;3.6;4.5;1.87
SP1;16/09/2017;Getafe;Barcelona;1;2;A;1;0;H;11;6.5;1.25;1.39
SP1;16/09/2017;Levante;Valencia;1;1;D;1;1;D;3.25;3.25;2.3;2.04
SP1;17/09/2017;Alaves;Villarreal;0;3;A;0;1;A;3.1;3.1;2.4;2.35
SP1;17/09/2017;Girona;Sevilla;0;1;A;0;0;D;3.3;3.25;2.3;1.85
SP1;17/09/2017;Las Palmas;Ath Bilbao;1;0;H;0;0;D;2.75;3.4;2.55;1.92
SP1;17/09/2017;Sociedad;Real Madrid;1;3;A;1;2;A;5;4;1.67;1.45
SP1;18/09/2017;Espanol;Celta;2;1;H;2;0;H;2.3;3.3;3.2;2.06
SP1;19/09/2017;Barcelona;Eibar;6;1;H;2;0;H;1.11;10;15;1.24
SP1;19/09/2017;Valencia;Malaga;5;0;H;1;0;H;1.5;4;7;1.81
SP1;20/09/2017;Ath Bilbao;Ath Madrid;1;2;A;0;0;D;3.4;3.2;2.25;2.39
SP1;20/09/2017;La Coruna;Alaves;1;0;H;1;0;H;1.91;3.3;4.5;2.2
SP1;20/09/2017;Leganes;Girona;0;0;D;0;0;D;2.15;3.2;3.7;2.5
SP1;20/09/2017;Real Madrid;Betis;0;1;A;0;0;D;1.13;10;17;1.18
SP1;20/09/2017;Sevilla;Las Palmas;1;0;H;0;0;D;1.4;4.75;7.5;1.5
SP1;21/09/2017;Celta;Getafe;1;1;D;1;0;H;1.8;3.6;4.5;1.86
SP1;21/09/2017;Levante;Sociedad;3;0;H;1;0;H;3.25;3.25;2.3;1.87
SP1;21/09/2017;Villarreal;Espanol;0;0;D;0;0;D;1.73;3.5;5.5;2.02
SP1;23/09/2017;Alaves;Real Madrid;1;2;A;1;2;A;17;7.5;1.17;1.34
SP1;23/09/2017;Ath Madrid;Sevilla;2;0;H;0;0;D;1.57;4;6.5;1.81
SP1;23/09/2017;Girona;Barcelona;0;3;A;0;1;A;12;6;1.25;1.42
SP1;23/09/2017;Malaga;Ath Bilbao;3;3;D;1;1;D;2.9;3.3;2.4;2.16
SP1;24/09/2017;Eibar;Celta;0;4;A;0;3;A;2.2;3.3;3.4;2.01
SP1;24/09/2017;Espanol;La Coruna;4;1;H;2;0;H;1.95;3.5;4;1.98
SP1;24/09/2017;Getafe;Villarreal;4;0;H;0;0;D;2.88;3.1;2.63;2.2
SP1;24/09/2017;Las Palmas;Leganes;0;2;A;0;0;D;2.05;3.25;3.8;2.2
SP1;24/09/2017;Sociedad;Valencia;2;3;A;1;1;D;2.3;3.4;3.1;1.66
SP1;25/09/2017;Betis;Levante;4;0;H;0;0;D;1.85;3.5;4.5;2.05
SP1;29/09/2017;Celta;Girona;3;3;D;2;2;D;1.67;3.6;5.75;2
SP1;30/09/2017;La Coruna;Getafe;2;1;H;0;0;D;2.25;3.25;3.4;1.97
SP1;30/09/2017;Leganes;Ath Madrid;0;0;D;0;0;D;7.5;3.75;1.55;2.49
SP1;30/09/2017;Levante;Alaves;0;2;A;0;1;A;1.83;3.5;4.5;2.15
SP1;30/09/2017;Sevilla;Malaga;2;0;H;0;0;D;1.36;5.5;7.5;1.54
SP1;01/10/2017;Barcelona;Las Palmas;3;0;H;0;0;D;1.08;11;26;1.14
SP1;01/10/2017;Real Madrid;Espanol;2;0;H;1;0;H;1.1;10;23;1.19
SP1;01/10/2017;Sociedad;Betis;4;4;D;2;2;D;1.95;3.6;3.8;1.67
SP1;01/10/2017;Valencia;Ath Bilbao;3;2;H;2;0;H;1.91;3.5;4.2;1.84
SP1;01/10/2017;Villarreal;Eibar;3;0;H;1;0;H;1.83;3.6;4.33;1.99
SP1;13/10/2017;Espanol;Levante;0;0;D;0;0;D;1.75;3.6;5;2.09
SP1;14/10/2017;Alaves;Sociedad;0;2;A;0;0;D;3.5;3.4;2.15;1.84
SP1;14/10/2017;Ath Bilbao;Sevilla;1;0;H;1;0;H;2.5;3.25;2.9;1.93
SP1;14/10/2017;Ath Madrid;Barcelona;1;1;D;1;0;H;3;3.4;2.38;1.89
SP1;14/10/2017;Getafe;Real Madrid;1;2;A;0;1;A;10;5.75;1.29;1.4
SP1;15/10/2017;Betis;Valencia;3;6;A;0;2;A;2.55;3.5;2.7;1.63
SP1;15/10/2017;Eibar;La Coruna;0;0;D;0;0;D;2;3.5;3.75;1.88
SP1;15/10/2017;Girona;Villarreal;1;2;A;1;2;A;2.8;3.2;2.6;2.16
