Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;BbAv>2.5
SP1;25/04/2010;Almeria;Espanol;0;1;A;0;0;D;2.2;3.2;3.4;2.21
SP1;25/04/2010;Ath Madrid;Tenerife;3;1;H;2;0;H;1.8;3.5;4.5;1.61
SP1;25/04/2010;Getafe;Sevilla;4;3;H;1;2;A;2.8;3.25;2.5;1.88
SP1;25/04/2010;Mallorca;Malaga;1;1;D;0;0;D;1.5;4;7;1.92
SP1;25/04/2010;Santander;Villarreal;1;2;A;1;0;H;3;3.25;2.38;1.94
SP1;25/04/2010;Sp Gijon;Valladolid;0;2;A;0;0;D;2.25;3.25;3.25;2.01
SP1;26/04/2010;Osasuna;Ath Bilbao;0;0;D;0;0;D;2.5;3.25;2.8;2.07
SP1;01/05/2010;Espanol;Valencia;0;2;A;0;0;D;2.88;3.3;2.4;1.94
SP1;01/05/2010;La Coruna;Zaragoza;0;1;A;0;0;D;2.4;3.3;2.88;2.02
SP1;01/05/2010;Malaga;Sp Gijon;1;1;D;0;1;A;1.83;3.5;4.33;2.08
SP1;01/05/2010;Tenerife;Santander;2;1;H;1;0;H;2.1;3.3;3.5;1.87
SP1;01/05/2010;Valladolid;Getafe;0;0;D;0;0;D;2.4;3.3;2.88;2.01
SP1;01/05/2010;Villarreal;Barcelona;1;4;A;0;3;A;5.5;3.8;1.57;1.57
SP1;01/05/2010;Xerez;Almeria;2;1;H;1;1;D;2.5;3.3;2.75;2.03
SP1;02/05/2010;Ath Bilbao;Mallorca;1;3;A;1;1;D;2;3.4;3.75;1.94
SP1;02/05/2010;Real Madrid;Osasuna;3;2;H;2;2;D;1.13;8;19;1.36
SP1;02/05/2010;Sevilla;Ath Madrid;3;1;H;3;1;H;1.36;5;8;1.63
SP1;04/05/2010;Almeria;Villarreal;4;2;H;3;0;H;3.2;3.25;2.25;1.88
SP1;04/05/2010;Barcelona;Tenerife;4;1;H;1;1;D;1.06;11;29;1.27
SP1;04/05/2010;Getafe;Sp Gijon;1;1;D;0;1;A;1.57;3.8;6;1.78
SP1;04/05/2010;Valencia;Xerez;3;1;H;1;1;D;1.25;5.75;11;1.51
SP1;05/05/2010;Ath Bilbao;Malaga;1;1;D;1;1;D;1.8;3.5;4.33;1.96
SP1;05/05/2010;Ath Madrid;Valladolid;3;1;H;1;0;H;2;3.5;3.6;1.79
SP1;05/05/2010;Mallorca;Real Madrid;1;4;A;1;1;D;5.75;4.2;1.53;1.45
SP1;05/05/2010;Osasuna;La Coruna;3;1;H;3;1;H;1.73;3.6;4.75;2.1
SP1;05/05/2010;Santander;Sevilla;1;5;A;0;2;A;3.2;3.3;2.25;1.92
SP1;05/05/2010;Zaragoza;Espanol;1;0;H;0;0;D;1.75;3.75;4.75;2.07
SP1;08/05/2010;Espanol;Osasuna;2;1;H;0;1;A;2.1;3.2;3.6;2.01
SP1;08/05/2010;Getafe;Malaga;2;1;H;1;0;H;1.8;3.5;4.5;1.91
SP1;08/05/2010;La Coruna;Mallorca;1;0;H;0;0;D;3.75;3.4;2;1.99
SP1;08/05/2010;Real Madrid;Ath Bilbao;5;1;H;1;1;D;1.11;9;19;1.32
SP1;08/05/2010;Sevilla;Barcelona;2;3;A;0;2;A;6;4.33;1.5;1.44
SP1;08/05/2010;Sp Gijon;Ath Madrid;1;1;D;0;0;D;1.67;3.8;5;1.74
SP1;08/05/2010;Tenerife;Almeria;2;2;D;1;1;D;1.67;3.75;5;1.81
SP1;08/05/2010;Valladolid;Santander;2;1;H;0;1;A;2.1;3.2;3.6;2
SP1;08/05/2010;Villarreal;Valencia;2;0;H;2;0;H;1.73;3.8;4.5;1.56
SP1;08/05/2010;Xerez;Zaragoza;3;2;H;1;0;H;3;3.25;2.38;1.89
SP1;15/05/2010;Almeria;Sevilla;2;3;A;1;1;D;6.5;4.5;1.44;1.5
SP1;15/05/2010;Ath Bilbao;La Coruna;2;0;H;1;0;H;1.8;3.6;4.33;1.69
SP1;15/05/2010;Ath Madrid;Getafe;0;3;A;0;1;A;4.75;4.2;1.65;1.53
SP1;15/05/2010;Mallorca;Espanol;2;0;H;1;0;H;1.29;5.5;9.5;1.61
SP1;15/05/2010;Zaragoza;Villarreal;3;3;D;3;1;H;4;3.6;1.85;1.54
SP1;16/05/2010;Barcelona;Valladolid;4;0;H;2;0;H;1.04;13;34;1.21
SP1;16/05/2010;Malaga;Real Madrid;1;1;D;1;0;H;10;5.5;1.29;1.31
SP1;16/05/2010;Osasuna;Xerez;1;1;D;0;0;D;2.35;3.4;2.9;1.66
SP1;16/05/2010;Santander;Sp Gijon;2;0;H;1;0;H;1.3;5.25;9.5;1.64
SP1;16/05/2010;Valencia;Tenerife;1;0;H;0;0;D;2.2;3.6;3;1.51
