Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;odd_H;odd_D;odd_A;odd_over25
SP1;27/08/2011;Granada;Betis;0;1;A;0;0;D;2.3;3.4;3;2.02
SP1;27/08/2011;Sp Gijon;Sociedad;1;2;A;0;1;A;2.05;3.25;3.75;2.1
SP1;27/08/2011;Valencia;Santander;4;3;H;1;2;A;1.4;4.33;8;1.76
SP1;28/08/2011;Ath Bilbao;Vallecano;1;1;D;0;0;D;1.57;3.75;6;1.82
SP1;28/08/2011;Ath Madrid;Osasuna;0;0;D;0;0;D;1.53;3.8;6.5;1.85
SP1;28/08/2011;Getafe;Levante;1;1;D;0;0;D;1.8;3.5;4.5;1.95
SP1;28/08/2011;Mallorca;Espanol;1;0;H;0;0;D;2;3.4;3.75;2.05
SP1;28/08/2011;Sevilla;Malaga;2;1;H;2;0;H;2.1;3.4;3.4;1.72
SP1;28/08/2011;Zaragoza;Real Madrid;0;6;A;0;2;A;8.5;5;1.33;1.53
SP1;29/08/2011;Barcelona;Villarreal;5;0;H;2;0;H;1.25;5.75;11;1.42
SP1;10/09/2011;Real Madrid;Getafe;4;2;H;1;1;D;1.08;10;26;1.27
SP1;10/09/2011;Sociedad;Barcelona;2;2;D;0;2;A;15;7;1.17;1.44
SP1;10/09/2011;Valencia;Ath Madrid;1;0;H;0;0;D;1.91;3.6;3.75;1.78
SP1;10/09/2011;Villarreal;Sevilla;2;2;D;1;1;D;2.1;3.4;3.4;1.88
SP1;11/09/2011;Betis;Mallorca;1;0;H;0;0;D;1.91;3.4;4;2.05
SP1;11/09/2011;Espanol;Ath Bilbao;2;1;H;1;0;H;2.4;3.3;2.9;2.03
SP1;11/09/2011;Osasuna;Sp Gijon;2;1;H;2;0;H;1.91;3.4;4;2.25
SP1;11/09/2011;Santander;Levante;0;0;D;0;0;D;2.1;3.3;3.5;2.14
SP1;11/09/2011;Vallecano;Zaragoza;0;0;D;0;0;D;2.2;3.2;3.4;2.11
