Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;odd_H;odd_D;odd_A;odd_over25
SP1;30/08/2003;Albacete;Osasuna;0;2;A;0;1;A;2.3;3;3;2
SP1;30/08/2003;Ath Bilbao;Barcelona;0;1;A;0;1;A;2.6;3.2;2.5;1.8
SP1;30/08/2003;Espanol;Sociedad;1;1;D;1;0;H;2.6;3.2;2.5;1.8
SP1;30/08/2003;Malaga;Villarreal;0;0;D;0;0;D;2.3;3.2;2.875;1.9
SP1;30/08/2003;Real Madrid;Betis;2;1;H;1;1;D;1.364;4.333;7.5;1.61
SP1;30/08/2003;Valencia;Valladolid;1;1;D;0;1;A;1.4;3.75;8.5;1.9
SP1;31/08/2003;Celta;Murcia;1;1;D;1;0;H;1.444;3.6;8;1.83
SP1;31/08/2003;Santander;Mallorca;2;1;H;1;0;H;2.375;3.2;2.75;1.83
SP1;31/08/2003;Sevilla;Ath Madrid;1;0;H;1;0;H;2.2;3.2;3;1.9
SP1;31/08/2003;Zaragoza;La Coruna;0;1;A;0;0;D;3;3.2;2.2;1.8
SP1;02/09/2003;Osasuna;Valencia;0;1;A;0;0;D;2.87;3.2;2.3;2.1
SP1;02/09/2003;Sociedad;Celta;1;1;D;1;0;H;1.9;3.25;3.75;1.83
SP1;02/09/2003;Villarreal;Real Madrid;1;1;D;0;0;D;4;3.4;1.8;1.72
SP1;03/09/2003;Ath Madrid;Albacete;1;0;H;0;0;D;1.53;3.4;6.5;1.8
SP1;03/09/2003;Barcelona;Sevilla;1;1;D;0;1;A;1.57;3.4;6;1.8
SP1;03/09/2003;Betis;Espanol;2;2;D;2;0;H;1.72;3.25;4.75;2
SP1;03/09/2003;La Coruna;Ath Bilbao;2;0;H;1;0;H;1.57;3.4;6;1.8
SP1;03/09/2003;Mallorca;Zaragoza;2;0;H;1;0;H;1.72;3.4;4.5;1.9
SP1;03/09/2003;Murcia;Santander;1;1;D;1;1;D;2.25;3.2;2.9;1.9
SP1;03/09/2003;Valladolid;Malaga;1;0;H;1;0;H;1.9;3.25;3.75;2.1
SP1;13/09/2003;Celta;Betis;0;2;A;0;1;A;1.8;3.2;4.33;1.83
SP1;13/09/2003;Real Madrid;Valladolid;7;2;H;3;0;H;1.28;4.5;10;1.61
SP1;13/09/2003;Santander;Sociedad;0;1;A;0;1;A;2.6;3.2;2.5;1.9
SP1;13/09/2003;Sevilla;La Coruna;1;2;A;0;1;A;2.7;3.2;2.4;2
SP1;14/09/2003;Albacete;Barcelona;1;2;A;0;1;A;4.75;3.25;1.72;1.8
SP1;14/09/2003;Ath Bilbao;Mallorca;4;0;H;2;0;H;2;3.2;3.5;1.9
