Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;odd_H;odd_D;odd_A;odd_over25
SP1;18/08/2012;Celta;Malaga;0;1;A;0;0;D;2.25;3.25;3.2;2.02
SP1;18/08/2012;Mallorca;Espanol;2;1;H;1;1;D;2;3.3;3.8;2.17
SP1;18/08/2012;Sevilla;Getafe;2;1;H;2;0;H;1.62;3.75;5.5;1.96
SP1;19/08/2012;Ath Bilbao;Betis;3;5;A;0;3;A;1.83;3.5;4.2;1.88
SP1;19/08/2012;Barcelona;Sociedad;5;1;H;4;1;H;1.1;9;26;1.3
SP1;19/08/2012;Levante;Ath Madrid;1;1;D;1;1;D;3.2;3.4;2.2;1.97
SP1;19/08/2012;Real Madrid;Valencia;1;1;D;1;1;D;1.25;6;10;1.4
SP1;20/08/2012;La Coruna;Osasuna;2;0;H;0;0;D;2;3.4;3.75;2.12
SP1;20/08/2012;Vallecano;Granada;1;0;H;0;0;D;2.2;3.3;3.3;1.93
SP1;20/08/2012;Zaragoza;Valladolid;0;1;A;0;1;A;2.15;3.3;3.4;1.99
SP1;25/08/2012;Betis;Vallecano;1;2;A;1;1;D;1.7;3.6;5;1.89
SP1;25/08/2012;Espanol;Zaragoza;1;2;A;1;0;H;1.67;3.6;5.25;2.09
SP1;25/08/2012;Malaga;Mallorca;1;1;D;0;0;D;1.91;3.5;4;2.04
SP1;25/08/2012;Sociedad;Celta;2;1;H;0;0;D;2;3.4;3.75;2.1
SP1;26/08/2012;Getafe;Real Madrid;2;1;H;0;1;A;9.5;5.5;1.29;1.5
SP1;26/08/2012;Granada;Sevilla;1;1;D;1;1;D;3;3.25;2.38;2.05
SP1;26/08/2012;Osasuna;Barcelona;1;2;A;1;0;H;12;6;1.22;1.49
SP1;26/08/2012;Valencia;La Coruna;3;3;D;3;1;H;1.44;4.2;7.5;1.79
SP1;27/08/2012;Ath Madrid;Ath Bilbao;4;0;H;2;0;H;1.6;4;5.5;1.77
SP1;27/08/2012;Valladolid;Levante;2;0;H;1;0;H;2.05;3.4;3.5;2.18
SP1;01/09/2012;Celta;Osasuna;2;0;H;0;0;D;2;3.3;3.75;2.11
SP1;01/09/2012;La Coruna;Getafe;1;1;D;1;1;D;2.2;3.2;3.4;2.06
SP1;01/09/2012;Mallorca;Sociedad;1;0;H;0;0;D;2.1;3.2;3.6;2.19
SP1;01/09/2012;Zaragoza;Malaga;0;1;A;0;0;D;2.7;3.25;2.6;2.17
SP1;02/09/2012;Ath Bilbao;Valladolid;2;0;H;0;0;D;2;3.4;3.75;1.94
SP1;02/09/2012;Barcelona;Valencia;1;0;H;1;0;H;1.22;6;13;1.36
SP1;02/09/2012;Levante;Espanol;3;2;H;0;2;A;2.2;3.2;3.4;2.24
SP1;02/09/2012;Real Madrid;Granada;3;0;H;1;0;H;1.08;10;23;1.24
SP1;02/09/2012;Vallecano;Sevilla;0;0;D;0;0;D;2.8;3.25;2.5;2.02
SP1;15/09/2012;Getafe;Barcelona;1;4;A;0;1;A;11;6;1.25;1.52
SP1;15/09/2012;Malaga;Levante;3;1;H;1;0;H;1.7;3.6;5;2.04
SP1;15/09/2012;Sevilla;Real Madrid;1;0;H;1;0;H;5;4;1.62;1.54
SP1;15/09/2012;Valencia;Celta;2;1;H;1;1;D;1.44;4.33;7;1.65
SP1;16/09/2012;Ath Madrid;Vallecano;4;3;H;1;0;H;1.33;5;9;1.58
SP1;16/09/2012;Espanol;Ath Bilbao;3;3;D;2;0;H;2.2;3.4;3.2;1.9
SP1;16/09/2012;Granada;La Coruna;1;1;D;0;1;A;2.3;3.2;3.2;2.21
SP1;16/09/2012;Osasuna;Mallorca;1;1;D;0;0;D;2.2;3.25;3.25;2.2
SP1;16/09/2012;Sociedad;Zaragoza;2;0;H;0;0;D;1.8;3.5;4.5;2.04
SP1;17/09/2012;Valladolid;Betis;0;1;A;0;0;D;2.1;3.3;3.5;2.03
SP1;22/09/2012;Barcelona;Granada;2;0;H;0;0;D;1.05;12;34;1.22
SP1;22/09/2012;Betis;Espanol;1;0;H;1;0;H;1.95;3.5;3.75;1.9
SP1;22/09/2012;Celta;Getafe;2;1;H;0;0;D;2;3.4;3.75;2.06
SP1;22/09/2012;Zaragoza;Osasuna;3;1;H;2;1;H;2.25;3.25;3.2;2.28
SP1;23/09/2012;Ath Bilbao;Malaga;0;0;D;0;0;D;2.2;3.4;3.2;1.87
SP1;23/09/2012;Ath Madrid;Valladolid;2;1;H;2;0;H;1.3;5.25;10;1.58
SP1;23/09/2012;Levante;Sociedad;2;1;H;0;1;A;2.1;3.4;3.4;2.18
SP1;23/09/2012;Mallorca;Valencia;2;0;H;1;0;H;2.8;3.25;2.5;2.07
SP1;24/09/2012;La Coruna;Sevilla;0;2;A;0;0;D;2.6;3.3;2.63;2.03
SP1;24/09/2012;Vallecano;Real Madrid;0;2;A;0;1;A;9;5.5;1.3;1.49
SP1;26/09/2012;Betis;Ath Madrid;2;4;A;2;1;H;3.1;3.3;2.3;1.85
SP1;29/09/2012;Malaga;Betis;4;0;H;2;0;H;1.7;3.75;4.75;1.91
SP1;29/09/2012;Sevilla;Barcelona;2;3;A;1;0;H;6;4.33;1.5;1.6
SP1;29/09/2012;Sociedad;Ath Bilbao;2;0;H;0;0;D;2.3;3.4;3;1.93
SP1;29/09/2012;Valencia;Zaragoza;2;0;H;1;0;H;1.36;4.75;8.5;1.68
SP1;30/09/2012;Espanol;Ath Madrid;0;1;A;0;1;A;3.6;3.5;2;1.88
SP1;30/09/2012;Granada;Celta;2;1;H;2;1;H;2.3;3.25;3.1;2.1
SP1;30/09/2012;Osasuna;Levante;4;0;H;0;0;D;1.95;3.3;4;2.19
SP1;30/09/2012;Real Madrid;La Coruna;5;1;H;3;1;H;1.13;8;21;1.35
SP1;30/09/2012;Valladolid;Vallecano;6;1;H;4;1;H;1.83;3.5;4.33;1.88
SP1;01/10/2012;Getafe;Mallorca;1;0;H;0;0;D;2.1;3.25;3.6;2.19
SP1;05/10/2012;Celta;Sevilla;2;0;H;0;0;D;2.63;3.3;2.63;2.01
SP1;06/10/2012;Betis;Sociedad;2;0;H;1;0;H;1.95;3.3;4;1.94
SP1;06/10/2012;Valladolid;Espanol;1;1;D;0;0;D;1.91;3.5;4;2.06
SP1;06/10/2012;Vallecano;La Coruna;2;1;H;2;1;H;2.3;3.3;3.1;1.95
SP1;06/10/2012;Zaragoza;Getafe;0;1;A;0;0;D;2.3;3.3;3.1;2.13
SP1;07/10/2012;Ath Bilbao;Osasuna;1;0;H;1;0;H;1.83;3.5;4.33;1.94
SP1;07/10/2012;Ath Madrid;Malaga;2;1;H;1;1;D;1.73;3.75;4.5;1.76
SP1;07/10/2012;Barcelona;Real Madrid;2;2;D;1;1;D;1.83;4;3.75;1.51
SP1;07/10/2012;Levante;Valencia;1;0;H;1;0;H;3.5;3.3;2.1;2.02
SP1;07/10/2012;Mallorca;Granada;1;2;A;0;0;D;1.83;3.5;4.33;2.06
SP1;20/10/2012;La Coruna;Barcelona;4;5;A;2;4;A;10;5;1.3;1.51
SP1;20/10/2012;Malaga;Valladolid;2;1;H;1;1;D;1.53;3.8;6.5;1.84
SP1;20/10/2012;Real Madrid;Celta;2;0;H;1;0;H;1.1;9;23;1.26
SP1;20/10/2012;Valencia;Ath Bilbao;3;2;H;1;2;A;1.62;3.8;5.5;1.73
SP1;21/10/2012;Espanol;Vallecano;3;2;H;1;1;D;1.91;3.4;4;1.76
SP1;21/10/2012;Getafe;Levante;0;1;A;0;0;D;1.83;3.5;4.2;2.09
SP1;21/10/2012;Granada;Zaragoza;1;2;A;0;2;A;1.91;3.4;4;2.17
SP1;21/10/2012;Osasuna;Betis;0;0;D;0;0;D;2;3.4;3.75;2.1
SP1;21/10/2012;Sociedad;Ath Madrid;0;1;A;0;0;D;3.4;3.4;2.1;1.93
SP1;22/10/2012;Sevilla;Mallorca;3;2;H;1;2;A;1.62;3.8;5.5;1.9
SP1;27/10/2012;Betis;Valencia;1;0;H;1;0;H;2.9;3.3;2.4;1.87
SP1;27/10/2012;Celta;La Coruna;1;1;D;1;1;D;1.91;3.5;4;1.94
SP1;27/10/2012;Espanol;Malaga;0;0;D;0;0;D;2.8;3.3;2.5;2.06
SP1;27/10/2012;Vallecano;Barcelona;0;5;A;0;1;A;11;6;1.25;1.36
SP1;28/10/2012;Ath Bilbao;Getafe;1;2;A;0;1;A;1.85;3.5;4.2;1.89
SP1;28/10/2012;Ath Madrid;Osasuna;3;1;H;2;1;H;1.3;5;11;1.65
SP1;28/10/2012;Levante;Granada;3;1;H;1;0;H;2;3.4;3.75;2.12
SP1;28/10/2012;Mallorca;Real Madrid;0;5;A;0;2;A;8;4.5;1.4;1.48
SP1;28/10/2012;Zaragoza;Sevilla;2;1;H;2;0;H;3;3.25;2.38;2.11
SP1;29/10/2012;Valladolid;Sociedad;2;2;D;1;1;D;2.1;3.3;3.5;1.96
SP1;03/11/2012;Barcelona;Celta;3;1;H;2;1;H;1.08;10;26;1.24
SP1;03/11/2012;Malaga;Vallecano;1;2;A;0;1;A;1.4;4.5;8;1.61
SP1;03/11/2012;Real Madrid;Zaragoza;4;0;H;2;0;H;1.08;10;26;1.26
SP1;03/11/2012;Valencia;Ath Madrid;2;0;H;1;0;H;2.4;3.4;2.8;1.81
SP1;04/11/2012;Granada;Ath Bilbao;1;2;A;0;2;A;2.38;3.4;2.88;1.91
SP1;04/11/2012;La Coruna;Mallorca;1;0;H;1;0;H;1.95;3.3;4;2.01
SP1;04/11/2012;Osasuna;Valladolid;0;1;A;0;0;D;2.05;3.2;3.8;2.17
SP1;04/11/2012;Sevilla;Levante;0;0;D;0;0;D;1.5;4;7;1.85
SP1;04/11/2012;Sociedad;Espanol;0;1;A;0;0;D;1.83;3.5;4.33;1.98
SP1;05/11/2012;Getafe;Betis;2;4;A;0;0;D;1.91;3.4;4;1.91
SP1;09/11/2012;Betis;Granada;1;2;A;0;1;A;1.7;3.8;4.75;1.95
SP1;10/11/2012;Espanol;Osasuna;0;3;A;0;1;A;1.8;3.5;4.5;2.03
SP1;10/11/2012;Malaga;Sociedad;1;2;A;1;1;D;1.53;4;6;1.78
SP1;10/11/2012;Vallecano;Celta;3;2;H;0;2;A;2.38;3.4;2.9;1.77
SP1;10/11/2012;Zaragoza;La Coruna;5;3;H;1;2;A;2.05;3.25;3.75;2.1
SP1;11/11/2012;Ath Bilbao;Sevilla;2;1;H;2;0;H;2.38;3.5;2.8;1.84
SP1;11/11/2012;Ath Madrid;Getafe;2;0;H;2;0;H;1.36;4.75;8.5;1.64
SP1;11/11/2012;Levante;Real Madrid;1;2;A;0;1;A;9;5.5;1.3;1.5
SP1;11/11/2012;Mallorca;Barcelona;2;4;A;0;3;A;13;6;1.22;1.43
SP1;11/11/2012;Valladolid;Valencia;1;1;D;0;1;A;2.8;3.4;2.4;1.99
SP1;17/11/2012;Barcelona;Zaragoza;3;1;H;2;1;H;1.08;10;26;1.21
SP1;17/11/2012;Osasuna;Malaga;0;0;D;0;0;D;3;3.2;2.4;2.16
SP1;17/11/2012;Real Madrid;Ath Bilbao;5;1;H;3;1;H;1.17;8;12;1.25
SP1;17/11/2012;Valencia;Espanol;2;1;H;1;1;D;1.5;4;7;1.81
SP1;18/11/2012;Celta;Mallorca;1;1;D;0;1;A;1.91;3.4;4;2.05
SP1;18/11/2012;Getafe;Valladolid;2;1;H;0;1;A;2;3.3;3.8;2.11
SP1;18/11/2012;Granada;Ath Madrid;0;1;A;0;0;D;4.5;3.75;1.73;1.92
SP1;18/11/2012;La Coruna;Levante;0;2;A;0;1;A;2.05;3.4;3.5;1.98
SP1;18/11/2012;Sevilla;Betis;5;1;H;4;0;H;1.67;3.5;5.5;1.78
SP1;19/11/2012;Sociedad;Vallecano;4;0;H;2;0;H;1.75;3.5;4.75;1.73
SP1;23/11/2012;Sociedad;Osasuna;0;0;D;0;0;D;1.85;3.5;4.2;2.05
SP1;24/11/2012;Betis;Real Madrid;1;0;H;1;0;H;10;5.5;1.29;1.41
SP1;24/11/2012;Malaga;Valencia;4;0;H;1;0;H;2.1;3.4;3.4;2.03
SP1;24/11/2012;Valladolid;Granada;1;0;H;0;0;D;1.85;3.4;4.33;2.03
SP1;24/11/2012;Vallecano;Mallorca;2;0;H;0;0;D;2.1;3.4;3.4;1.82
SP1;25/11/2012;Ath Bilbao;La Coruna;1;1;D;1;0;H;1.67;3.8;5;1.66
SP1;25/11/2012;Ath Madrid;Sevilla;4;0;H;3;0;H;1.62;3.8;5.5;1.72
SP1;25/11/2012;Espanol;Getafe;0;2;A;0;1;A;2.1;3.4;3.4;2.04
SP1;25/11/2012;Levante;Barcelona;0;4;A;0;0;D;13;6.5;1.2;1.43
SP1;26/11/2012;Zaragoza;Celta;0;1;A;0;0;D;2.1;3.3;3.5;1.99
SP1;30/11/2012;Osasuna;Vallecano;1;0;H;1;0;H;1.91;3.5;4;1.89
SP1;01/12/2012;Barcelona;Ath Bilbao;5;1;H;3;0;H;1.09;10;21;1.22
SP1;01/12/2012;Getafe;Malaga;1;0;H;0;0;D;2.6;3.25;2.7;2.06
SP1;01/12/2012;Real Madrid;Ath Madrid;2;0;H;1;0;H;1.44;4.5;6.5;1.43
SP1;01/12/2012;Valencia;Sociedad;2;5;A;1;1;D;1.6;3.8;5.75;1.8
SP1;02/12/2012;Celta;Levante;1;1;D;1;0;H;2;3.5;3.6;2.02
SP1;02/12/2012;Granada;Espanol;0;0;D;0;0;D;2.05;3.4;3.5;2.1
SP1;02/12/2012;La Coruna;Betis;2;3;A;0;1;A;2.1;3.4;3.4;1.87
SP1;02/12/2012;Mallorca;Zaragoza;1;1;D;0;1;A;2;3.5;3.6;2.01
SP1;03/12/2012;Sevilla;Valladolid;1;2;A;0;2;A;1.7;3.75;4.75;1.83
SP1;07/12/2012;Espanol;Sevilla;2;2;D;1;1;D;2.8;3.3;2.5;2
SP1;08/12/2012;Malaga;Granada;4;0;H;2;0;H;1.44;4.33;7;1.8
SP1;08/12/2012;Osasuna;Valencia;0;1;A;0;0;D;2.63;3.3;2.63;2.18
SP1;08/12/2012;Sociedad;Getafe;1;1;D;0;0;D;1.91;3.3;4.2;2.04
SP1;08/12/2012;Valladolid;Real Madrid;2;3;A;2;2;D;10;6;1.25;1.44
SP1;09/12/2012;Ath Bilbao;Celta;1;0;H;1;0;H;1.83;3.75;4;1.67
SP1;09/12/2012;Ath Madrid;La Coruna;6;0;H;3;0;H;1.29;5.5;10;1.46
SP1;09/12/2012;Betis;Barcelona;1;2;A;1;2;A;9;5.5;1.3;1.41
SP1;09/12/2012;Levante;Mallorca;4;0;H;1;0;H;2;3.2;4;2.11
SP1;10/12/2012;Vallecano;Zaragoza;0;2;A;0;1;A;2.25;3.3;3.2;1.79
SP1;15/12/2012;Getafe;Osasuna;1;1;D;0;0;D;1.95;3.3;4;2.24
SP1;15/12/2012;Granada;Sociedad;0;0;D;0;0;D;2.4;3.3;2.88;2.11
SP1;15/12/2012;Mallorca;Ath Bilbao;0;1;A;0;1;A;2.4;3.4;2.8;1.96
SP1;15/12/2012;Sevilla;Malaga;0;2;A;0;0;D;2.1;3.3;3.5;1.98
SP1;16/12/2012;Barcelona;Ath Madrid;4;1;H;2;1;H;1.25;6;10;1.41
SP1;16/12/2012;Real Madrid;Espanol;2;2;D;1;1;D;1.1;10;17;1.25
SP1;16/12/2012;Valencia;Vallecano;0;1;A;0;0;D;1.44;4.33;7;1.6
SP1;16/12/2012;Zaragoza;Levante;0;1;A;0;1;A;2;3.4;3.75;2.13
