Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;odd_H;odd_D;odd_A;odd_over25
SP1;12/08/2022;Osasuna;Sevilla;2;1;H;1;1;D;3.2;3.1;2.4;2.62
SP1;13/08/2022;Celta;Espanol;2;2;D;1;0;H;1.8;3.75;4.75;2
SP1;13/08/2022;Valladolid;Villarreal;0;3;A;0;0;D;3.9;3.6;1.9;1.99
SP1;13/08/2022;Barcelona;Vallecano;0;0;D;0;0;D;1.22;7;12;1.53
SP1;14/08/2022;Cadiz;Sociedad;0;1;A;0;1;A;3.6;3.2;2.2;2.37
SP1;14/08/2022;Valencia;Girona;1;0;H;1;0;H;1.85;3.4;4.5;2.1
SP1;14/08/2022;Almeria;Real Madrid;1;2;A;1;0;H;7.5;5;1.4;1.57
SP1;15/08/2022;Ath Bilbao;Mallorca;0;0;D;0;0;D;1.6;3.75;6.5;2.1
SP1;15/08/2022;Getafe;Ath Madrid;0;3;A;0;1;A;5;3.1;1.9;2.75
SP1;15/08/2022;Betis;Elche;3;0;H;2;0;H;1.44;4.5;7;1.8
SP1;19/08/2022;Espanol;Vallecano;0;2;A;0;1;A;2.45;3.1;3.1;2.5
SP1;19/08/2022;Sevilla;Valladolid;1;1;D;0;0;D;1.5;4.2;6.5;1.98
SP1;20/08/2022;Osasuna;Cadiz;2;0;H;1;0;H;1.9;3.25;4.5;2.37
SP1;20/08/2022;Mallorca;Betis;1;2;A;0;1;A;3.1;3.2;2.4;2.2
SP1;20/08/2022;Celta;Real Madrid;1;4;A;1;2;A;4.5;4.2;1.66;1.66
SP1;21/08/2022;Ath Bilbao;Valencia;1;0;H;1;0;H;1.8;3.75;4.5;2.1
SP1;21/08/2022;Ath Madrid;Villarreal;0;2;A;0;0;D;1.85;3.5;4.33;2.05
SP1;21/08/2022;Sociedad;Barcelona;1;4;A;1;1;D;3.3;3.6;2.1;1.8
SP1;22/08/2022;Elche;Almeria;1;1;D;1;1;D;2.5;3.2;3;2.2
SP1;22/08/2022;Girona;Getafe;3;1;H;1;0;H;2.8;2.9;2.9;3
SP1;26/08/2022;Girona;Celta;0;1;A;0;0;D;2.8;3.1;2.75;2.2
SP1;26/08/2022;Betis;Osasuna;1;0;H;1;0;H;1.8;3.6;4.75;1.96
SP1;27/08/2022;Elche;Sociedad;0;1;A;0;1;A;3.6;3.2;2.15;2.3
SP1;27/08/2022;Vallecano;Mallorca;0;2;A;0;1;A;2.05;3.25;4;2.37
SP1;27/08/2022;Almeria;Sevilla;2;1;H;1;1;D;3.6;3.25;2.15;2.2
SP1;28/08/2022;Getafe;Villarreal;0;0;D;0;0;D;4.33;3.4;1.85;2.37
SP1;28/08/2022;Barcelona;Valladolid;4;0;H;2;0;H;1.14;8.5;15;1.36
SP1;28/08/2022;Espanol;Real Madrid;1;3;A;1;1;D;6.5;4.75;1.45;1.61
SP1;29/08/2022;Cadiz;Ath Bilbao;0;4;A;0;1;A;3.6;3.2;2.15;2.5
SP1;29/08/2022;Valencia;Ath Madrid;0;1;A;0;0;D;4;3.3;2;2.2
SP1;02/09/2022;Celta;Cadiz;3;0;H;0;0;D;1.66;3.6;5.5;2.3
SP1;03/09/2022;Mallorca;Girona;1;1;D;0;0;D;2.15;3.2;3.6;2.37
SP1;03/09/2022;Real Madrid;Betis;2;1;H;1;1;D;1.4;5.25;6.5;1.44
SP1;03/09/2022;Sociedad;Ath Madrid;1;1;D;0;1;A;2.9;3.2;2.55;2.3
SP1;03/09/2022;Sevilla;Barcelona;0;3;A;0;2;A;4.5;3.6;1.8;1.8
SP1;04/09/2022;Osasuna;Vallecano;2;1;H;0;0;D;2;3.1;4.33;2.3
SP1;04/09/2022;Ath Bilbao;Espanol;0;1;A;0;0;D;1.53;4;6.5;2.06
SP1;04/09/2022;Villarreal;Elche;4;0;H;2;0;H;1.33;5;10;1.72
SP1;04/09/2022;Valencia;Getafe;5;1;H;3;0;H;1.9;3.2;4.5;2.62
SP1;05/09/2022;Valladolid;Almeria;1;0;H;0;0;D;2.3;3.3;3.1;2.1
SP1;09/09/2022;Girona;Valladolid;2;1;H;1;1;D;2.25;3.25;3.4;2.2
SP1;10/09/2022;Vallecano;Valencia;2;1;H;1;0;H;2.62;3.1;2.87;2.1
SP1;10/09/2022;Espanol;Sevilla;2;3;A;1;3;A;2.87;3.25;2.5;2.2
SP1;10/09/2022;Cadiz;Barcelona;0;4;A;0;0;D;13;6.5;1.22;1.61
SP1;10/09/2022;Ath Madrid;Celta;4;1;H;1;0;H;1.61;3.8;6;2
SP1;11/09/2022;Real Madrid;Mallorca;4;1;H;1;1;D;1.25;6;11;1.5
SP1;11/09/2022;Elche;Ath Bilbao;1;4;A;0;4;A;4;3.6;1.9;2.2
SP1;11/09/2022;Getafe;Sociedad;2;1;H;1;0;H;3.75;3;2.15;2.62
SP1;11/09/2022;Betis;Villarreal;1;0;H;0;0;D;2.8;3.4;2.5;1.91
