Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;odd_H;odd_D;odd_A;odd_over25
SP1;26/08/2006;Valencia;Betis;2;1;H;1;0;H;1.57;3.6;6;2.03
SP1;27/08/2006;Ath Bilbao;Sociedad;1;1;D;1;0;H;2;3.2;3.75;2.08
SP1;27/08/2006;Espanol;Gimnastic;0;1;A;0;0;D;1.72;3.4;5;2.07
SP1;27/08/2006;La Coruna;Zaragoza;3;2;H;2;1;H;2;3.2;3.75;2.02
SP1;27/08/2006;Osasuna;Getafe;0;2;A;0;0;D;1.83;3.3;4.33;2.07
SP1;27/08/2006;Real Madrid;Villarreal;0;0;D;0;0;D;1.53;3.8;6;1.74
SP1;27/08/2006;Recreativo;Mallorca;1;1;D;0;0;D;2.3;3.25;3;2.14
SP1;27/08/2006;Santander;Ath Madrid;0;1;A;0;1;A;3.1;3.2;2.25;2.11
SP1;28/08/2006;Celta;Barcelona;2;3;A;1;0;H;5.5;3.4;1.67;1.8
SP1;29/08/2006;Sevilla;Levante;4;0;H;2;0;H;1.44;4;7.5;1.99
SP1;09/09/2006;Ath Madrid;Valencia;0;1;A;0;1;A;2.4;3.2;2.87;2.11
SP1;09/09/2006;Barcelona;Osasuna;3;0;H;3;0;H;1.28;5;10;1.66
SP1;10/09/2006;Betis;Ath Bilbao;3;0;H;2;0;H;2;3.3;3.6;2.09
SP1;10/09/2006;Getafe;Santander;1;0;H;0;0;D;1.83;3.3;4.33;2.07
SP1;10/09/2006;Gimnastic;Celta;1;2;A;0;0;D;2.6;3.2;2.62;2.11
SP1;10/09/2006;Levante;Real Madrid;1;4;A;1;2;A;7;3.75;1.5;1.93
SP1;10/09/2006;Mallorca;La Coruna;0;0;D;0;0;D;2.5;3.1;2.8;2.08
SP1;10/09/2006;Sociedad;Sevilla;1;3;A;0;1;A;3.1;3.1;2.3;1.98
SP1;10/09/2006;Villarreal;Recreativo;0;1;A;0;0;D;1.5;3.75;7;1.96
SP1;10/09/2006;Zaragoza;Espanol;3;0;H;1;0;H;1.72;3.3;5;1.99
SP1;16/09/2006;La Coruna;Villarreal;2;0;H;1;0;H;2.3;3.25;3;2.1
SP1;17/09/2006;Ath Bilbao;Ath Madrid;1;4;A;0;2;A;2.7;3.25;2.5;2.11
SP1;17/09/2006;Espanol;Celta;2;1;H;0;0;D;2.4;3.2;2.87;2.08
SP1;17/09/2006;Osasuna;Gimnastic;2;0;H;1;0;H;1.72;3.6;4.5;2.08
SP1;17/09/2006;Real Madrid;Sociedad;2;0;H;0;0;D;1.28;5;10;1.62
SP1;17/09/2006;Recreativo;Levante;0;1;A;0;0;D;2;3.2;3.75;2.09
SP1;17/09/2006;Santander;Barcelona;0;3;A;0;1;A;7.5;4.33;1.4;1.76
SP1;17/09/2006;Sevilla;Betis;3;2;H;1;1;D;1.66;3.6;5;1.99
SP1;17/09/2006;Valencia;Getafe;2;0;H;1;0;H;1.44;4;7.5;1.97
SP1;17/09/2006;Zaragoza;Mallorca;2;0;H;0;0;D;1.66;3.6;5;1.95
SP1;23/09/2006;Betis;Real Madrid;0;1;A;0;1;A;3.75;3.2;2;1.94
SP1;24/09/2006;Ath Madrid;Sevilla;2;1;H;0;1;A;2.3;3.25;3;2.02
